PeakID (cmd=annotatePeaks.pl liver_14_5_REP1.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
liver_14_5_REP1.mLb.clN_peak_1265	chr19	46056133	46057377	+	636	NA	intron (Pprc1, intron 1 of 13)	-intron (Pprc1, intron 1 of 13)	216	Pprc1	Pprc1	NM_001346801			Pprc1			NA
liver_14_5_REP1.mLb.clN_peak_798	chr19	6046074	6047363	+	635	NA	promoter-TSS (Syvn1)	-promoter-TSS (Syvn1)	142	Syvn1	Syvn1	NM_001164709			Syvn1			NA
liver_14_5_REP1.mLb.clN_peak_577	chr18	77046992	77047595	+	634	NA	promoter-TSS (Katnal2)	-promoter-TSS (Katnal2)	3	Katnal2	Katnal2	NM_001368657			Katnal2			NA
liver_14_5_REP1.mLb.clN_peak_254	chr18	36440129	36440542	+	630	NA	intron (Pfdn1, intron 2 of 3)	-intron (Pfdn1, intron 2 of 3)	14160	Pfdn1	Pfdn1	NM_026027			Pfdn1			NA
liver_14_5_REP1.mLb.clN_peak_453	chr18	64485559	64486155	+	619	NA	intron (Fech, intron 1 of 10)	-intron (Fech, intron 1 of 9)	3241	Fech	Fech	NM_001348055			Fech			NA
liver_14_5_REP1.mLb.clN_peak_642	chr18	82771198	82771544	+	619	NA	Intergenic	Intergenic	-12332	2210420H20Rik	2210420H20Rik	NR_045389			2210420H20Rik			NA
liver_14_5_REP1.mLb.clN_peak_930	chr19	10949071	10949649	+	617	NA	promoter-TSS (Ccdc86)	-promoter-TSS (Ccdc86)	-94	Ccdc86	Ccdc86	NM_023731			Ccdc86			NA
liver_14_5_REP1.mLb.clN_peak_661	chr18	88754589	88755328	+	614	NA	Intergenic	Intergenic	139249	Socs6	Socs6	NM_018821			Socs6			NA
liver_14_5_REP1.mLb.clN_peak_769	chr19	5663398	5664042	+	614	NA	promoter-TSS (Sipa1)	-promoter-TSS (Sipa1)	-13	Sipa1	Sipa1	NM_001164568			Sipa1			NA
liver_14_5_REP1.mLb.clN_peak_194	chr18	32552061	32553543	+	612	NA	intron (Gypc, intron 1 of 2)	-intron (Gypc, intron 1 of 2)	7232	Gypc	Gypc	NM_001048207			Gypc			NA
liver_14_5_REP1.mLb.clN_peak_1151	chr19	37550280	37551184	+	610	NA	intron (Exoc6, intron 1 of 21)	-intron (Exoc6, intron 1 of 21)	314	Exoc6	Exoc6	NM_175353			Exoc6			NA
liver_14_5_REP1.mLb.clN_peak_1271	chr19	46304317	46305037	+	609	NA	promoter-TSS (Nfkb2)	-promoter-TSS (Nfkb2)	952	4833438C02Rik	4833438C02Rik	NR_152247			4833438C02Rik			NA
liver_14_5_REP1.mLb.clN_peak_209	chr18	34506159	34507285	+	608	NA	exon (Fam13b, exon 1 of 21)	-exon (Fam13b, exon 1 of 21)	101	Fam13b	Fam13b	NM_146084			Fam13b			NA
liver_14_5_REP1.mLb.clN_peak_1016	chr19	24554957	24556602	+	606	NA	promoter-TSS (Pip5k1b)	-promoter-TSS (Pip5k1b)	93	Pip5k1b	Pip5k1b	NM_008846			Pip5k1b			NA
liver_14_5_REP1.mLb.clN_peak_758	chr19	5487956	5488528	+	605	NA	exon (Mus81, exon 1 of 16)	-exon (Mus81, exon 1 of 16)	137	Mus81	Mus81	NR_153769			Mus81			NA
liver_14_5_REP1.mLb.clN_peak_1094	chr19	32510407	32511325	+	602	NA	intron (Minpp1, intron 4 of 4)	-intron (Minpp1, intron 4 of 4)	25097	Minpp1	Minpp1	NM_010799			Minpp1			NA
liver_14_5_REP1.mLb.clN_peak_1443	chr19	60743673	60744387	+	601	NA	Intergenic	Intergenic	-11957	Nanos1	Nanos1	NM_178421			Nanos1			NA
liver_14_5_REP1.mLb.clN_peak_262	chr18	36772195	36772965	+	599	NA	intron (Hars, intron 4 of 12)	-intron (Hars, intron 4 of 12)	-6366	Dnd1	Dnd1	NM_173383			Dnd1			NA
liver_14_5_REP1.mLb.clN_peak_1279	chr19	46396723	46397237	+	596	NA	promoter-TSS (Sufu)	-promoter-TSS (Sufu)	84	Sufu	Sufu	NM_001025391			Sufu			NA
liver_14_5_REP1.mLb.clN_peak_349	chr18	52465473	52465959	+	594	NA	promoter-TSS (Srfbp1)	-promoter-TSS (Srfbp1)	23	Srfbp1	Srfbp1	NM_026040			Srfbp1			NA
liver_14_5_REP1.mLb.clN_peak_919	chr19	10577056	10577715	+	590	NA	promoter-TSS (Cyb561a3)	-promoter-TSS (Cyb561a3)	1	Tmem138	Tmem138	NR_126092			Tmem138			NA
liver_14_5_REP1.mLb.clN_peak_976	chr19	17356140	17356781	+	589	NA	intron (Gcnt1, intron 1 of 2)	-intron (Gcnt1, intron 1 of 2)	207	Gcnt1	Gcnt1	NM_173442			Gcnt1			NA
liver_14_5_REP1.mLb.clN_peak_525	chr18	70055185	70055420	+	587	NA	intron (Rab27b, intron 2 of 6)	-intron (Rab27b, intron 2 of 6)	-1714	Rab27b	Rab27b	NM_001082553			Rab27b			NA
liver_14_5_REP1.mLb.clN_peak_833	chr19	6941464	6942931	+	585	NA	promoter-TSS (Gpr137)	-promoter-TSS (Gpr137)	336	Bad	Bad	NM_001285453			Bad			NA
liver_14_5_REP1.mLb.clN_peak_869	chr19	8712984	8714116	+	585	NA	exon (Slc3a2, exon 2 of 10)	-exon (Slc3a2, exon 2 of 10)	347	Slc3a2	Slc3a2	NM_008577			Slc3a2			NA
liver_14_5_REP1.mLb.clN_peak_17	chr18	4943855	4944900	+	583	NA	Intergenic	Intergenic	-102212	Svil	Svil	NM_153153			Svil			NA
liver_14_5_REP1.mLb.clN_peak_1441	chr19	60709253	60709988	+	582	NA	Intergenic	Intergenic	-46367	Nanos1	Nanos1	NM_178421			Nanos1			NA
liver_14_5_REP1.mLb.clN_peak_178	chr18	31609332	31610160	+	579	NA	exon (Slc25a46, exon 1 of 8)	-exon (Slc25a46, exon 1 of 8)	184	Slc25a46	Slc25a46	NM_001357461			Slc25a46			NA
liver_14_5_REP1.mLb.clN_peak_546	chr18	74207318	74207996	+	571	NA	exon (Ska1, exon 1 of 7)	-exon (Ska1, exon 1 of 7)	161	Ska1	Ska1	NM_001164355			Ska1			NA
liver_14_5_REP1.mLb.clN_peak_1202	chr19	41847152	41848633	+	569	NA	exon (Frat2, exon 1 of 1)	-exon (Frat2, exon 1 of 1)	240	Frat2	Frat2	NM_177603			Frat2			NA
liver_14_5_REP1.mLb.clN_peak_203	chr18	34220571	34221702	+	567	NA	exon (Apc, exon 1 of 16)	-exon (Apc, exon 1 of 16)	152	Apc	Apc	NM_001360980			Apc			NA
liver_14_5_REP1.mLb.clN_peak_158	chr18	24158688	24159441	+	567	NA	Intergenic	Intergenic	-37245	Ino80c	Ino80c	NM_172625			Ino80c			NA
liver_14_5_REP1.mLb.clN_peak_808	chr19	6132391	6132745	+	565	NA	Intergenic	Intergenic	2295	Mir12193	Mir12193	NR_162796			Mir12193			NA
liver_14_5_REP1.mLb.clN_peak_957	chr19	15984475	15985235	+	564	NA	promoter-TSS (C130060C02Rik)	-promoter-TSS (C130060C02Rik)	134	Cep78	Cep78	NM_198019			Cep78			NA
liver_14_5_REP1.mLb.clN_peak_641	chr18	82691437	82692744	+	563	NA	intron (Zfp236, intron 1 of 29)	-intron (Zfp236, intron 1 of 30)	825	Zfp236	Zfp236	NM_177832			Zfp236			NA
liver_14_5_REP1.mLb.clN_peak_88	chr18	12121094	12121808	+	563	NA	promoter-TSS (Tmem241)	-promoter-TSS (Tmem241)	86	Tmem241	Tmem241	NM_178801			Tmem241			NA
liver_14_5_REP1.mLb.clN_peak_1011	chr19	24476672	24477757	+	563	NA	exon (Fam122a, exon 1 of 1)	-exon (Fam122a, exon 1 of 1)	260	Fam122a	Fam122a	NM_026520			Fam122a			NA
liver_14_5_REP1.mLb.clN_peak_136	chr18	21238791	21239208	+	561	NA	intron (Garem1, intron 1 of 5)	-intron (Garem1, intron 1 of 5)	61140	Garem1	Garem1	NM_001033445			Garem1			NA
liver_14_5_REP1.mLb.clN_peak_1003	chr19	23687115	23687875	+	557	NA	promoter-TSS (Ptar1)	-promoter-TSS (Ptar1)	95	Ptar1	Ptar1	NM_028208			Ptar1			NA
liver_14_5_REP1.mLb.clN_peak_162	chr18	24205407	24206475	+	557	NA	promoter-TSS (Galnt1)	-promoter-TSS (Galnt1)	597	Galnt1	Galnt1	NM_001160404			Galnt1			NA
liver_14_5_REP1.mLb.clN_peak_556	chr18	75018587	75019749	+	556	NA	intron (Dym, intron 1 of 16)	-intron (Dym, intron 1 of 16)	404	Dym	Dym	NM_027727			Dym			NA
liver_14_5_REP1.mLb.clN_peak_789	chr19	5893760	5894491	+	554	NA	promoter-TSS (Tigd3)	-promoter-TSS (Tigd3)	3	Tigd3	Tigd3	NM_001362045			Tigd3			NA
liver_14_5_REP1.mLb.clN_peak_314	chr18	44828208	44829160	+	550	NA	promoter-TSS (Ythdc2)	-promoter-TSS (Ythdc2)	19	Ythdc2	Ythdc2	NM_001163013			Ythdc2			NA
liver_14_5_REP1.mLb.clN_peak_750	chr19	5366254	5367263	+	550	NA	promoter-TSS (Banf1)	-promoter-TSS (Banf1)	-55	Eif1ad	Eif1ad	NM_027236			Eif1ad			NA
liver_14_5_REP1.mLb.clN_peak_587	chr18	77773488	77774526	+	549	NA	promoter-TSS (Haus1)	-promoter-TSS (Haus1)	239	Atp5a1	Atp5a1	NM_007505			Atp5a1			NA
liver_14_5_REP1.mLb.clN_peak_759	chr19	5489044	5489464	+	542	NA	promoter-TSS (Mus81)	-promoter-TSS (Mus81)	-875	Mus81	Mus81	NR_153769			Mus81			NA
liver_14_5_REP1.mLb.clN_peak_922	chr19	10634225	10635246	+	539	NA	intron (Vwce, intron 1 of 19)	-intron (Vwce, intron 1 of 19)	502	Vwce	Vwce	NM_027913			Vwce			NA
liver_14_5_REP1.mLb.clN_peak_1260	chr19	45997921	45998690	+	532	NA	exon (4930505N22Rik, exon 1 of 2)	-exon (4930505N22Rik, exon 1 of 2)	168	4930505N22Rik	4930505N22Rik	NR_152221			4930505N22Rik			NA
liver_14_5_REP1.mLb.clN_peak_809	chr19	6140532	6141819	+	531	NA	promoter-TSS (Arl2)	-promoter-TSS (Arl2)	-38	Arl2	Arl2	NM_019722			Arl2			NA
liver_14_5_REP1.mLb.clN_peak_93	chr18	12255735	12256598	+	524	NA	intron (Ankrd29, intron 7 of 7)	-intron (Ankrd29, intron 9 of 9)	-19780	Npc1	Npc1	NM_008720			Npc1			NA
liver_14_5_REP1.mLb.clN_peak_911	chr19	10203092	10204428	+	523	NA	promoter-TSS (Tmem258)	-promoter-TSS (Tmem258)	-442	Tmem258	Tmem258	NM_026919			Tmem258			NA
liver_14_5_REP1.mLb.clN_peak_426	chr18	61946208	61946794	+	522	NA	Intergenic	Intergenic	-6574	Sh3tc2	Sh3tc2	NM_172628			Sh3tc2			NA
liver_14_5_REP1.mLb.clN_peak_1438	chr19	60386737	60387421	+	521	NA	Intergenic	Intergenic	81225	Prlhr	Prlhr	NM_201615			Prlhr			NA
liver_14_5_REP1.mLb.clN_peak_918	chr19	10555498	10556227	+	518	NA	promoter-TSS (Tmem216)	-promoter-TSS (Tmem216)	376	Tmem216	Tmem216	NM_001277860			Tmem216			NA
liver_14_5_REP1.mLb.clN_peak_863	chr19	7557312	7558084	+	517	NA	exon (Plaat3, exon 1 of 5)	-exon (Plaat3, exon 1 of 5)	239	Plaat3	Plaat3	NM_139269			Plaat3			NA
liver_14_5_REP1.mLb.clN_peak_1081	chr19	32221995	32222388	+	517	NA	intron (Sgms1, intron 5 of 9)	-intron (Sgms1, intron 5 of 9)	-119051	Asah2	Asah2	NM_018830			Asah2			NA
liver_14_5_REP1.mLb.clN_peak_1320	chr19	47579159	47580167	+	511	NA	promoter-TSS (Slk)	-promoter-TSS (Slk)	-356	Slk	Slk	NM_001164639			Slk			NA
liver_14_5_REP1.mLb.clN_peak_717	chr19	4333593	4334161	+	511	NA	intron (Kdm2a, intron 12 of 20)	-intron (Kdm2a, intron 12 of 20)	-27655	Grk2	Grk2	NM_130863			Grk2			NA
liver_14_5_REP1.mLb.clN_peak_1416	chr19	57610503	57611630	+	510	NA	promoter-TSS (Atrnl1)	-promoter-TSS (Atrnl1)	32	Atrnl1	Atrnl1	NM_181415			Atrnl1			NA
liver_14_5_REP1.mLb.clN_peak_1063	chr19	30050562	30050927	+	506	NA	intron (Uhrf2, intron 2 of 15)	-intron (Uhrf2, intron 2 of 15)	20231	Uhrf2	Uhrf2	NM_144873			Uhrf2			NA
liver_14_5_REP1.mLb.clN_peak_574	chr18	76929462	76930320	+	503	NA	promoter-TSS (Ier3ip1)	-promoter-TSS (Ier3ip1)	-136	Ier3ip1	Ier3ip1	NM_025409			Ier3ip1			NA
liver_14_5_REP1.mLb.clN_peak_217	chr18	34776798	34777765	+	501	NA	exon (Kdm3b, exon 1 of 24)	-exon (Kdm3b, exon 1 of 24)	273	Kdm3b	Kdm3b	NM_001081256			Kdm3b			NA
liver_14_5_REP1.mLb.clN_peak_214	chr18	34651301	34652005	+	498	NA	promoter-TSS (Cdc23)	-promoter-TSS (Cdc23)	83	Cdc23	Cdc23	NM_178347			Cdc23			NA
liver_14_5_REP1.mLb.clN_peak_1407	chr19	56821799	56822705	+	497	NA	promoter-TSS (Ccdc186)	-promoter-TSS (Ccdc186)	-53	Ccdc186	Ccdc186	NM_170757			Ccdc186			NA
liver_14_5_REP1.mLb.clN_peak_1144	chr19	37375802	37376834	+	496	NA	promoter-TSS (Kif11)	-promoter-TSS (Kif11)	-64	Kif11	Kif11	NM_010615			Kif11			NA
liver_14_5_REP1.mLb.clN_peak_1170	chr19	40297319	40297979	+	496	NA	intron (Sorbs1, intron 27 of 28)	-intron (Sorbs1, intron 21 of 22)	-26033	Pdlim1	Pdlim1	NM_016861			Pdlim1			NA
liver_14_5_REP1.mLb.clN_peak_454	chr18	64488725	64489261	+	495	NA	exon (Fech, exon 1 of 10)	-exon (Fech, exon 1 of 10)	105	Fech	Fech	NM_001348055			Fech			NA
liver_14_5_REP1.mLb.clN_peak_826	chr19	6832357	6832845	+	494	NA	intron (Rps6ka4, intron 9 of 17)	-intron (Rps6ka4, intron 9 of 17)	-2657	Mir5046	Mir5046	NR_039555			Mir5046			NA
liver_14_5_REP1.mLb.clN_peak_606	chr18	80150871	80152217	+	494	NA	promoter-TSS (Adnp2)	-promoter-TSS (Adnp2)	-62	Adnp2	Adnp2	NM_175028			Adnp2			NA
liver_14_5_REP1.mLb.clN_peak_102	chr18	12935835	12936567	+	492	NA	intron (Osbpl1a, intron 1 of 27)	-intron (Osbpl1a, intron 1 of 27)	-35722	Impact	Impact	NM_001357396			Impact			NA
liver_14_5_REP1.mLb.clN_peak_728	chr19	4755679	4756887	+	491	NA	promoter-TSS (Rbm4b)	-promoter-TSS (Rbm4b)	-242	Rbm4b	Rbm4b	NM_025717			Rbm4b			NA
liver_14_5_REP1.mLb.clN_peak_531	chr18	70553042	70553544	+	490	NA	Intergenic	Intergenic	-14999	Mbd2	Mbd2	NM_001311071			Mbd2			NA
liver_14_5_REP1.mLb.clN_peak_945	chr19	12011046	12012512	+	489	NA	Intergenic	Intergenic	24961	Olfr1423	Olfr1423	NM_146680			Olfr1423			NA
liver_14_5_REP1.mLb.clN_peak_1078	chr19	32179886	32180404	+	488	NA	intron (Sgms1, intron 5 of 9)	-intron (Sgms1, intron 5 of 9)	-77005	Asah2	Asah2	NM_018830			Asah2			NA
liver_14_5_REP1.mLb.clN_peak_415	chr18	61505417	61505929	+	485	NA	exon (Arhgef37, exon 8 of 13)	-exon (Arhgef37, exon 8 of 13)	-21066	Lncbate10	Lncbate10	NR_045419			Lncbate10			NA
liver_14_5_REP1.mLb.clN_peak_273	chr18	37954565	37955380	+	485	NA	promoter-TSS (Hdac3)	-promoter-TSS (Hdac3)	16	Hdac3	Hdac3	NM_010411			Hdac3			NA
liver_14_5_REP1.mLb.clN_peak_522	chr18	70000692	70001236	+	485	NA	intron (Rab27b, intron 2 of 6)	-intron (Rab27b, intron 2 of 6)	52624	Rab27b	Rab27b	NM_001082553			Rab27b			NA
liver_14_5_REP1.mLb.clN_peak_795	chr19	5966722	5968017	+	485	NA	Intergenic	Intergenic	-3163	Pola2	Pola2	NM_008893			Pola2			NA
liver_14_5_REP1.mLb.clN_peak_612	chr18	80220133	80220817	+	482	NA	intron (Txnl4a, intron 3 of 3)	-intron (Txnl4a, intron 3 of 3)	13629	Txnl4a	Txnl4a	NM_178604			Txnl4a			NA
liver_14_5_REP1.mLb.clN_peak_195	chr18	32556708	32557022	+	481	NA	intron (Gypc, intron 1 of 2)	-intron (Gypc, intron 1 of 2)	3169	Gypc	Gypc	NM_001048207			Gypc			NA
liver_14_5_REP1.mLb.clN_peak_1340	chr19	53313881	53314419	+	480	NA	intron (Mxi1, intron 1 of 5)	-intron (Mxi1, intron 1 of 5)	-15263	Mxi1	Mxi1	NM_001008543			Mxi1			NA
liver_14_5_REP1.mLb.clN_peak_830	chr19	6909508	6910736	+	479	NA	promoter-TSS (Prdx5)	-promoter-TSS (Prdx5)	-16	Prdx5	Prdx5	NM_012021			Prdx5			NA
liver_14_5_REP1.mLb.clN_peak_648	chr18	84087464	84088475	+	476	NA	promoter-TSS (Tshz1)	-promoter-TSS (Tshz1)	-189	Zadh2	Zadh2	NM_146090			Zadh2			NA
liver_14_5_REP1.mLb.clN_peak_870	chr19	8715246	8715685	+	475	NA	intron (Slc3a2, intron 1 of 9)	-intron (Slc3a2, intron 1 of 9)	-1568	Slc3a2	Slc3a2	NM_008577			Slc3a2			NA
liver_14_5_REP1.mLb.clN_peak_390	chr18	60500370	60501729	+	474	NA	intron (Smim3, intron 1 of 1)	-intron (Smim3, intron 1 of 1)	934	Smim3	Smim3	NM_134133			Smim3			NA
liver_14_5_REP1.mLb.clN_peak_825	chr19	6660182	6660711	+	474	NA	Intergenic	Intergenic	-117376	Slc22a12	Slc22a12	NM_009203			Slc22a12			NA
liver_14_5_REP1.mLb.clN_peak_890	chr19	8953377	8954159	+	471	NA	promoter-TSS (Tut1)	-promoter-TSS (Tut1)	-64	Tut1	Tut1	NM_197993			Tut1			NA
liver_14_5_REP1.mLb.clN_peak_907	chr19	10100646	10102158	+	468	NA	exon (Fads2, exon 1 of 12)	-exon (Fads2, exon 1 of 12)	101	Fads2	Fads2	NM_019699			Fads2			NA
liver_14_5_REP1.mLb.clN_peak_707	chr19	4148271	4149009	+	467	NA	promoter-TSS (Coro1b)	-promoter-TSS (Coro1b)	-14	Coro1b	Coro1b	NM_011778			Coro1b			NA
liver_14_5_REP1.mLb.clN_peak_1403	chr19	56548177	56549089	+	466	NA	promoter-TSS (Dclre1a)	-promoter-TSS (Dclre1a)	372	Nhlrc2	Nhlrc2	NM_025811			Nhlrc2			NA
liver_14_5_REP1.mLb.clN_peak_407	chr18	61176522	61177535	+	466	NA	promoter-TSS (Hmgxb3)	-promoter-TSS (Hmgxb3)	21	Hmgxb3	Hmgxb3	NM_134134			Hmgxb3			NA
liver_14_5_REP1.mLb.clN_peak_819	chr19	6334609	6335396	+	466	NA	promoter-TSS (Men1)	-promoter-TSS (Men1)	-37	Men1	Men1	NM_008583			Men1			NA
liver_14_5_REP1.mLb.clN_peak_1162	chr19	38395690	38396295	+	463	NA	promoter-TSS (Slc35g1)	-promoter-TSS (Slc35g1)	12	Slc35g1	Slc35g1	NM_175507			Slc35g1			NA
liver_14_5_REP1.mLb.clN_peak_294	chr18	39380226	39381591	+	462	NA	Intergenic	Intergenic	108371	Nr3c1	Nr3c1	NM_001361212			Nr3c1			NA
liver_14_5_REP1.mLb.clN_peak_754	chr19	5406534	5407398	+	462	NA	exon (4930481A15Rik, exon 1 of 5)	-exon (4930481A15Rik, exon 1 of 5)	151	4930481A15Rik	4930481A15Rik	NR_015545			4930481A15Rik			NA
liver_14_5_REP1.mLb.clN_peak_1130	chr19	36834066	36834859	+	462	NA	exon (Tnks2, exon 1 of 27)	-exon (Tnks2, exon 1 of 27)	230	Tnks2	Tnks2	NM_001163635			Tnks2			NA
liver_14_5_REP1.mLb.clN_peak_735	chr19	4891713	4892434	+	460	NA	intron (Bbs1, intron 14 of 16)	-intron (Bbs1, intron 14 of 16)	13405	Zdhhc24	Zdhhc24	NM_027476			Zdhhc24			NA
liver_14_5_REP1.mLb.clN_peak_981	chr19	18644077	18644494	+	453	NA	intron (Nmrk1, intron 7 of 8)	-intron (Nmrk1, intron 7 of 8)	12269	Nmrk1	Nmrk1	NM_145497			Nmrk1			NA
liver_14_5_REP1.mLb.clN_peak_841	chr19	7017991	7018460	+	451	NA	intron (Fermt3, intron 2 of 14)	-intron (Fermt3, intron 2 of 14)	1244	Fermt3	Fermt3	NM_001362399			Fermt3			NA
liver_14_5_REP1.mLb.clN_peak_727	chr19	4625169	4626102	+	450	NA	promoter-TSS (Rce1)	-promoter-TSS (Rce1)	-282	Rce1	Rce1	NM_001368713			Rce1			NA
liver_14_5_REP1.mLb.clN_peak_189	chr18	32239989	32240549	+	449	NA	promoter-TSS (Ercc3)	-promoter-TSS (Ercc3)	-58	Ercc3	Ercc3	NM_133658			Ercc3			NA
liver_14_5_REP1.mLb.clN_peak_218	chr18	34783477	34784037	+	449	NA	intron (Kdm3b, intron 1 of 23)	-intron (Kdm3b, intron 1 of 23)	6749	Kdm3b	Kdm3b	NM_001081256			Kdm3b			NA
liver_14_5_REP1.mLb.clN_peak_298	chr18	39489009	39490762	+	448	NA	promoter-TSS (Nr3c1)	-promoter-TSS (Nr3c1)	-606	Nr3c1	Nr3c1	NM_001361212			Nr3c1			NA
liver_14_5_REP1.mLb.clN_peak_615	chr18	80260041	80260317	+	441	NA	intron (Slc66a2, intron 2 of 5)	-intron (Slc66a2, intron 2 of 4)	3873	Slc66a2	Slc66a2	NM_025861			Slc66a2			NA
liver_14_5_REP1.mLb.clN_peak_788	chr19	5884015	5884450	+	440	NA	intron (Slc25a45, intron 4 of 5)	-intron (Slc25a45, intron 5 of 6)	6410	Slc25a45	Slc25a45	NM_134154			Slc25a45			NA
liver_14_5_REP1.mLb.clN_peak_225	chr18	35118466	35119381	+	437	NA	promoter-TSS (Ctnna1)	-promoter-TSS (Ctnna1)	11	Ctnna1	Ctnna1	NM_009818			Ctnna1			NA
liver_14_5_REP1.mLb.clN_peak_621	chr18	80933420	80934183	+	436	NA	intron (Atp9b, intron 1 of 28)	-intron (Atp9b, intron 1 of 29)	257	Atp9b	Atp9b	NM_015805			Atp9b			NA
liver_14_5_REP1.mLb.clN_peak_1424	chr19	58978475	58979187	+	435	NA	intron (Shtn1, intron 14 of 14)	-intron (Shtn1, intron 16 of 16)	35406	Eno4	Eno4	NM_178689			Eno4			NA
liver_14_5_REP1.mLb.clN_peak_227	chr18	35498502	35499006	+	434	NA	intron (Sil1, intron 1 of 9)	-intron (Sil1, intron 1 of 9)	171	Sil1	Sil1	NM_001360814			Sil1			NA
liver_14_5_REP1.mLb.clN_peak_494	chr18	67610062	67611515	+	433	NA	exon (Spire1, exon 1 of 17)	-exon (Spire1, exon 1 of 17)	118	Spire1	Spire1	NM_194355			Spire1			NA
liver_14_5_REP1.mLb.clN_peak_1333	chr19	53184958	53185983	+	432	NA	intron (Add3, intron 1 of 15)	-intron (Add3, intron 1 of 14)	41473	Add3	Add3	NM_001164100			Add3			NA
liver_14_5_REP1.mLb.clN_peak_966	chr19	16510899	16511516	+	430	NA	intron (Gna14, intron 1 of 6)	-intron (Gna14, intron 1 of 6)	75540	Gna14	Gna14	NM_008137			Gna14			NA
liver_14_5_REP1.mLb.clN_peak_583	chr18	77704755	77705126	+	429	NA	intron (8030462N17Rik, intron 1 of 3)	-intron (8030462N17Rik, intron 1 of 3)	9047	8030462N17Rik	8030462N17Rik	NM_178670			8030462N17Rik			NA
liver_14_5_REP1.mLb.clN_peak_455	chr18	64491134	64491565	+	428	NA	Intergenic	Intergenic	-2251	Fech	Fech	NM_001348055			Fech			NA
liver_14_5_REP1.mLb.clN_peak_764	chr19	5567372	5568613	+	427	NA	promoter-TSS (Ap5b1)	-promoter-TSS (Ap5b1)	-32	Ap5b1	Ap5b1	NM_001033448			Ap5b1			NA
liver_14_5_REP1.mLb.clN_peak_674	chr19	3388677	3389442	+	425	NA	promoter-TSS (Tesmin)	-promoter-TSS (Tesmin)	-319	Tesmin	Tesmin	NM_001039658			Tesmin			NA
liver_14_5_REP1.mLb.clN_peak_806	chr19	6117836	6118633	+	424	NA	exon (Sac3d1, exon 1 of 2)	-exon (Sac3d1, exon 1 of 2)	352	Sac3d1	Sac3d1	NM_133678			Sac3d1			NA
liver_14_5_REP1.mLb.clN_peak_528	chr18	70471853	70473135	+	424	NA	promoter-TSS (Stard6)	-promoter-TSS (Stard6)	-14	4930503L19Rik	4930503L19Rik	NM_172967			4930503L19Rik			NA
liver_14_5_REP1.mLb.clN_peak_862	chr19	7551643	7552594	+	423	NA	Intergenic	Intergenic	-5341	Plaat3	Plaat3	NM_139269			Plaat3			NA
liver_14_5_REP1.mLb.clN_peak_236	chr18	35702778	35703417	+	421	NA	promoter-TSS (Dnajc18)	-promoter-TSS (Dnajc18)	47	Dnajc18	Dnajc18	NM_029669			Dnajc18			NA
liver_14_5_REP1.mLb.clN_peak_940	chr19	11928049	11928541	+	421	NA	intron (Patl1, intron 9 of 18)	-intron (Patl1, intron 9 of 18)	4567	Mir6994	Mir6994	NR_105960			Mir6994			NA
liver_14_5_REP1.mLb.clN_peak_1026	chr19	26604689	26605323	+	420	NA	promoter-TSS (Smarca2)	-promoter-TSS (Smarca2)	-143397	Smarca2	Smarca2	NM_011416			Smarca2			NA
liver_14_5_REP1.mLb.clN_peak_1356	chr19	53819399	53819856	+	420	NA	intron (Rbm20, intron 5 of 13)	-intron (Rbm20, intron 5 of 13)	-72604	Pdcd4	Pdcd4	NM_001168492			Pdcd4			NA
liver_14_5_REP1.mLb.clN_peak_1395	chr19	55938267	55938597	+	420	NA	Intergenic	Intergenic	196622	Tcf7l2	Tcf7l2	NM_001142921			Tcf7l2			NA
liver_14_5_REP1.mLb.clN_peak_1154	chr19	37668037	37668631	+	419	NA	intron (Exoc6, intron 20 of 21)	-intron (Exoc6, intron 20 of 21)	-17346	Cyp26c1	Cyp26c1	NM_001105201			Cyp26c1			NA
liver_14_5_REP1.mLb.clN_peak_554	chr18	75000176	75000920	+	417	NA	promoter-TSS (Rpl17)	-promoter-TSS (Rpl17)	71	Rpl17	Rpl17	NM_001002239			Rpl17			NA
liver_14_5_REP1.mLb.clN_peak_1	chr18	3270416	3271129	+	417	NA	intron (Crem, intron 7 of 7)	-intron (Crem, intron 5 of 5)	56819	Crem	Crem	NM_001374833			Crem			NA
liver_14_5_REP1.mLb.clN_peak_1450	chr19	60872334	60872752	+	413	NA	intron (Prdx3, intron 2 of 6)	-intron (Prdx3, intron 2 of 6)	1995	Prdx3	Prdx3	NM_007452			Prdx3			NA
liver_14_5_REP1.mLb.clN_peak_985	chr19	18691988	18692992	+	411	NA	intron (Carnmt1, intron 5 of 7)	-intron (Carnmt1, intron 5 of 7)	-20746	D030056L22Rik	D030056L22Rik	NM_001374130			D030056L22Rik			NA
liver_14_5_REP1.mLb.clN_peak_792	chr19	5924042	5924997	+	411	NA	intron (Cdc42ep2, intron 1 of 1)	-intron (Cdc42ep2, intron 1 of 1)	297	Cdc42ep2	Cdc42ep2	NM_026772			Cdc42ep2			NA
