PeakID (cmd=annotatePeaks.pl liver_14_5_REP2.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
liver_14_5_REP2.mLb.clN_peak_1946	chr19	44135333	44136330	+	963	NA	promoter-TSS (Cwf19l1)	-promoter-TSS (Cwf19l1)	-375	Cwf19l1	Cwf19l1	NM_001356578			Cwf19l1			NA
liver_14_5_REP2.mLb.clN_peak_433	chr18	38248746	38249417	+	960	NA	intron (1700086O06Rik, intron 1 of 3)	-intron (1700086O06Rik, intron 1 of 3)	-1168	Dele1	Dele1	NM_024179			Dele1			NA
liver_14_5_REP2.mLb.clN_peak_1269	chr19	5924042	5925033	+	960	NA	intron (Cdc42ep2, intron 1 of 1)	-intron (Cdc42ep2, intron 1 of 1)	279	Cdc42ep2	Cdc42ep2	NM_026772			Cdc42ep2			NA
liver_14_5_REP2.mLb.clN_peak_841	chr18	70035665	70036915	+	955	NA	intron (Rab27b, intron 2 of 6)	-intron (Rab27b, intron 2 of 6)	17298	Rab27b	Rab27b	NM_001082553			Rab27b			NA
liver_14_5_REP2.mLb.clN_peak_2036	chr19	46553501	46554101	+	952	NA	intron (Arl3, intron 2 of 5)	-intron (Arl3, intron 2 of 6)	19381	Arl3	Arl3	NM_001355233			Arl3			NA
liver_14_5_REP2.mLb.clN_peak_1755	chr19	34662061	34662984	+	947	NA	Intergenic	Intergenic	21633	Ifit1	Ifit1	NM_008331			Ifit1			NA
liver_14_5_REP2.mLb.clN_peak_1514	chr19	16132217	16133479	+	941	NA	exon (Gnaq, exon 1 of 7)	-exon (Gnaq, exon 1 of 7)	164	Gnaq	Gnaq	NM_008139			Gnaq			NA
liver_14_5_REP2.mLb.clN_peak_1615	chr19	24998741	25000210	+	940	NA	promoter-TSS (Dock8)	-promoter-TSS (Dock8)	-54	Dock8	Dock8	NM_028785			Dock8			NA
liver_14_5_REP2.mLb.clN_peak_163	chr18	12935649	12936607	+	940	NA	intron (Osbpl1a, intron 1 of 27)	-intron (Osbpl1a, intron 1 of 27)	-35795	Impact	Impact	NM_001357396			Impact			NA
liver_14_5_REP2.mLb.clN_peak_2291	chr19	60799690	60800470	+	938	NA	Intergenic	Intergenic	-9387	Eif3a	Eif3a	NM_010123			Eif3a			NA
liver_14_5_REP2.mLb.clN_peak_2196	chr19	55867205	55867881	+	920	NA	intron (Tcf7l2, intron 4 of 15)	-intron (Tcf7l2, intron 4 of 14)	125733	Tcf7l2	Tcf7l2	NM_001142921			Tcf7l2			NA
liver_14_5_REP2.mLb.clN_peak_1317	chr19	6950719	6952895	+	919	NA	TTS (Bad)	-TTS (Bad)	9946	Bad	Bad	NM_001285453			Bad			NA
liver_14_5_REP2.mLb.clN_peak_1875	chr19	41310711	41311379	+	914	NA	intron (Pik3ap1, intron 8 of 16)	-intron (Pik3ap1, intron 8 of 16)	-47041	Tm9sf3	Tm9sf3	NM_133352			Tm9sf3			NA
liver_14_5_REP2.mLb.clN_peak_2154	chr19	53964863	53965688	+	910	NA	intron (Shoc2, intron 2 of 9)	-intron (Shoc2, intron 1 of 8)	20399	Shoc2	Shoc2	NM_019658			Shoc2			NA
liver_14_5_REP2.mLb.clN_peak_1572	chr19	21568089	21569186	+	910	NA	Intergenic	Intergenic	84154	1110059E24Rik	1110059E24Rik	NM_025423			1110059E24Rik			NA
liver_14_5_REP2.mLb.clN_peak_1245	chr19	5726155	5727595	+	906	NA	promoter-TSS (Ehbp1l1)	-promoter-TSS (Ehbp1l1)	-558	Ehbp1l1	Ehbp1l1	NM_053252			Ehbp1l1			NA
liver_14_5_REP2.mLb.clN_peak_1649	chr19	29047427	29048270	+	900	NA	exon (Ak3, exon 1 of 5)	-exon (Ak3, exon 1 of 5)	113	Ak3	Ak3	NM_021299			Ak3			NA
liver_14_5_REP2.mLb.clN_peak_1207	chr19	5067146	5068068	+	898	NA	promoter-TSS (Cd248)	-promoter-TSS (Cd248)	-471	Cd248	Cd248	NM_054042			Cd248			NA
liver_14_5_REP2.mLb.clN_peak_1643	chr19	27905954	27906555	+	897	NA	intron (Rfx3, intron 1 of 16)	-intron (Rfx3, intron 3 of 18)	104912	Rfx3	Rfx3	NM_001360358			Rfx3			NA
liver_14_5_REP2.mLb.clN_peak_2159	chr19	54087367	54088042	+	894	NA	Intergenic	Intergenic	42445	Adra2a	Adra2a	NM_007417			Adra2a			NA
liver_14_5_REP2.mLb.clN_peak_701	chr18	63203435	63205166	+	891	NA	intron (Piezo2, intron 3 of 53)	-intron (Piezo2, intron 3 of 53)	182883	Piezo2	Piezo2	NM_001039485			Piezo2			NA
liver_14_5_REP2.mLb.clN_peak_423	chr18	37969413	37970293	+	889	NA	promoter-TSS (Fchsd1)	-promoter-TSS (Fchsd1)	-122	Fchsd1	Fchsd1	NM_175684			Fchsd1			NA
liver_14_5_REP2.mLb.clN_peak_1815	chr19	37555979	37556647	+	886	NA	intron (Exoc6, intron 1 of 21)	-intron (Exoc6, intron 1 of 21)	5895	Exoc6	Exoc6	NM_175353			Exoc6			NA
liver_14_5_REP2.mLb.clN_peak_1340	chr19	7308118	7308721	+	884	NA	intron (Mark2, intron 1 of 17)	-intron (Mark2, intron 1 of 16)	33441	Mark2	Mark2	NM_001080388			Mark2			NA
liver_14_5_REP2.mLb.clN_peak_1837	chr19	38930357	38931579	+	884	NA	promoter-TSS (Hells)	-promoter-TSS (Hells)	-22	Hells	Hells	NM_008234			Hells			NA
liver_14_5_REP2.mLb.clN_peak_801	chr18	67670225	67670925	+	877	NA	exon (Ptpn2, exon 9 of 9)	-exon (Ptpn2, exon 9 of 9)	28988	Psmg2	Psmg2	NM_001368147			Psmg2			NA
liver_14_5_REP2.mLb.clN_peak_808	chr18	67817932	67818872	+	877	NA	intron (Cep192, intron 10 of 45)	-intron (Cep192, intron 10 of 45)	18295	Cep192	Cep192	NM_027556			Cep192			NA
liver_14_5_REP2.mLb.clN_peak_1184	chr19	4615206	4616187	+	869	NA	promoter-TSS (Lrfn4)	-promoter-TSS (Lrfn4)	-29	Lrfn4	Lrfn4	NM_153388			Lrfn4			NA
liver_14_5_REP2.mLb.clN_peak_1397	chr19	9050250	9050910	+	866	NA	intron (Ahnak, intron 6 of 6)	-intron (Ahnak, intron 5 of 5)	37376	Scgb1a1	Scgb1a1	NM_011681			Scgb1a1			NA
liver_14_5_REP2.mLb.clN_peak_1365	chr19	8714822	8715684	+	865	NA	intron (Slc3a2, intron 1 of 9)	-intron (Slc3a2, intron 1 of 9)	-1356	Slc3a2	Slc3a2	NM_008577			Slc3a2			NA
liver_14_5_REP2.mLb.clN_peak_444	chr18	38418413	38419531	+	862	NA	promoter-TSS (Ndfip1)	-promoter-TSS (Ndfip1)	65	Ndfip1	Ndfip1	NM_022996			Ndfip1			NA
liver_14_5_REP2.mLb.clN_peak_1871	chr19	40999438	41000071	+	857	NA	Intergenic	Intergenic	-5533	Blnk	Blnk	NM_001365054			Blnk			NA
liver_14_5_REP2.mLb.clN_peak_1285	chr19	6102199	6103020	+	852	NA	Intergenic	Intergenic	-3172	Naaladl1	Naaladl1	NM_001009546			Naaladl1			NA
liver_14_5_REP2.mLb.clN_peak_38	chr18	5389959	5390553	+	850	NA	Intergenic	Intergenic	-55817	Zfp438	Zfp438	NM_178722			Zfp438			NA
liver_14_5_REP2.mLb.clN_peak_2056	chr19	46905083	46906113	+	848	NA	intron (Nt5c2, intron 3 of 17)	-intron (Nt5c2, intron 3 of 17)	56753	Nt5c2	Nt5c2	NR_028353			Nt5c2			NA
liver_14_5_REP2.mLb.clN_peak_1407	chr19	9978396	9978924	+	841	NA	Intergenic	Intergenic	-1940	Fth1	Fth1	NR_073181			Fth1			NA
liver_14_5_REP2.mLb.clN_peak_569	chr18	54468797	54469243	+	835	NA	Intergenic	Intergenic	46725	Redrum	Redrum	NR_040338			Redrum			NA
liver_14_5_REP2.mLb.clN_peak_1766	chr19	36083028	36084257	+	830	NA	promoter-TSS (Rpp30)	-promoter-TSS (Rpp30)	-74	Rpp30	Rpp30	NM_019428			Rpp30			NA
liver_14_5_REP2.mLb.clN_peak_260	chr18	24163631	24164337	+	830	NA	Intergenic	Intergenic	-41360	Galnt1	Galnt1	NM_001160404			Galnt1			NA
liver_14_5_REP2.mLb.clN_peak_1680	chr19	29812538	29813539	+	825	NA	promoter-TSS (Ranbp6)	-promoter-TSS (Ranbp6)	-64	Ranbp6	Ranbp6	NM_177721			Ranbp6			NA
liver_14_5_REP2.mLb.clN_peak_1437	chr19	10444419	10445303	+	825	NA	intron (Syt7, intron 10 of 10)	-intron (Syt7, intron 11 of 11)	12586	Lrrc10b	Lrrc10b	NM_001111140			Lrrc10b			NA
liver_14_5_REP2.mLb.clN_peak_1244	chr19	5724194	5725215	+	824	NA	intron (Ehbp1l1, intron 1 of 18)	-intron (Ehbp1l1, intron 1 of 17)	1613	Ehbp1l1	Ehbp1l1	NM_053252			Ehbp1l1			NA
liver_14_5_REP2.mLb.clN_peak_550	chr18	50128019	50128808	+	821	NA	intron (Hsd17b4, intron 1 of 23)	-intron (Hsd17b4, intron 1 of 23)	212	Hsd17b4	Hsd17b4	NM_008292			Hsd17b4			NA
liver_14_5_REP2.mLb.clN_peak_119	chr18	10706406	10707086	+	820	NA	promoter-TSS (Abhd3)	-promoter-TSS (Abhd3)	-50	Abhd3	Abhd3	NM_134130			Abhd3			NA
liver_14_5_REP2.mLb.clN_peak_2107	chr19	53032117	53033398	+	820	NA	intron (Xpnpep1, intron 1 of 20)	-intron (Xpnpep1, intron 1 of 19)	5897	Xpnpep1	Xpnpep1	NM_001374834			Xpnpep1			NA
liver_14_5_REP2.mLb.clN_peak_2121	chr19	53310369	53311131	+	816	NA	promoter-TSS (Mxi1)	-promoter-TSS (Mxi1)	-18663	Mxi1	Mxi1	NM_001008543			Mxi1			NA
liver_14_5_REP2.mLb.clN_peak_1792	chr19	37018232	37019039	+	816	NA	Intergenic	Intergenic	92556	Btaf1	Btaf1	NM_001080706			Btaf1			NA
liver_14_5_REP2.mLb.clN_peak_1953	chr19	44314333	44315095	+	803	NA	Intergenic	Intergenic	11543	Mir5114	Mir5114	NR_039574			Mir5114			NA
liver_14_5_REP2.mLb.clN_peak_1795	chr19	37178019	37178933	+	803	NA	intron (A330032B11Rik, intron 2 of 2)	-intron (Cpeb3, intron 1 of 10)	4633	A330032B11Rik	A330032B11Rik	NR_045329			A330032B11Rik			NA
liver_14_5_REP2.mLb.clN_peak_1457	chr19	10881216	10882314	+	801	NA	promoter-TSS (Tmem109)	-promoter-TSS (Tmem109)	-22	Tmem109	Tmem109	NM_134142			Tmem109			NA
liver_14_5_REP2.mLb.clN_peak_1483	chr19	12002169	12002533	+	790	NA	Intergenic	Intergenic	34389	Olfr1423	Olfr1423	NM_146680			Olfr1423			NA
liver_14_5_REP2.mLb.clN_peak_2099	chr19	47918650	47920118	+	790	NA	promoter-TSS (Itprip)	-promoter-TSS (Itprip)	-61	Itprip	Itprip	NM_001001738			Itprip			NA
liver_14_5_REP2.mLb.clN_peak_800	chr18	67666601	67667220	+	788	NA	exon (Ptpn2, exon 9 of 9)	-exon (Ptpn2, exon 9 of 9)	25323	Psmg2	Psmg2	NM_001368147			Psmg2			NA
liver_14_5_REP2.mLb.clN_peak_2117	chr19	53247419	53248273	+	788	NA	TTS (Add3)	-TTS (Add3)	7359	1700001K23Rik	1700001K23Rik	NR_036590			1700001K23Rik			NA
liver_14_5_REP2.mLb.clN_peak_718	chr18	64482557	64482871	+	786	NA	intron (Fech, intron 1 of 9)	-intron (Fech, intron 1 of 9)	6384	Fech	Fech	NM_001348055			Fech			NA
liver_14_5_REP2.mLb.clN_peak_1163	chr19	4257287	4258210	+	782	NA	Intergenic	Intergenic	6130	Mir6985	Mir6985	NR_105951			Mir6985			NA
liver_14_5_REP2.mLb.clN_peak_1957	chr19	44394297	44395394	+	781	NA	exon (Scd1, exon 6 of 6)	-exon (Scd1, exon 6 of 6)	12864	Scd1	Scd1	NM_009127			Scd1			NA
liver_14_5_REP2.mLb.clN_peak_87	chr18	8693758	8694415	+	781	NA	Intergenic	Intergenic	-518770	Fzd8	Fzd8	NM_008058			Fzd8			NA
liver_14_5_REP2.mLb.clN_peak_1470	chr19	11725602	11726482	+	780	NA	Intergenic	Intergenic	-21517	Cblif	Cblif	NM_008118			Cblif			NA
liver_14_5_REP2.mLb.clN_peak_813	chr18	68189842	68190350	+	780	NA	intron (Ldlrad4, intron 3 of 5)	-intron (Ldlrad4, intron 3 of 5)	70877	Mir7219	Mir7219	NR_106078			Mir7219			NA
liver_14_5_REP2.mLb.clN_peak_2198	chr19	55925564	55926365	+	778	NA	intron (Tcf7l2, intron 12 of 12)	-intron (Tcf7l2, intron 12 of 12)	184154	Tcf7l2	Tcf7l2	NM_001142921			Tcf7l2			NA
liver_14_5_REP2.mLb.clN_peak_583	chr18	55106738	55107592	+	772	NA	Intergenic	Intergenic	-116985	Zfp608	Zfp608	NM_001360787			Zfp608			NA
liver_14_5_REP2.mLb.clN_peak_1547	chr19	18646581	18647298	+	770	NA	intron (Nmrk1, intron 8 of 8)	-intron (Nmrk1, intron 8 of 8)	14923	Nmrk1	Nmrk1	NM_145497			Nmrk1			NA
liver_14_5_REP2.mLb.clN_peak_303	chr18	32239617	32240742	+	770	NA	promoter-TSS (Ercc3)	-promoter-TSS (Ercc3)	-148	Ercc3	Ercc3	NM_133658			Ercc3			NA
liver_14_5_REP2.mLb.clN_peak_1021	chr18	82513462	82514219	+	769	NA	intron (Mbp, intron 2 of 6)	-intron (Mbp, intron 2 of 3)	38717	Mbp	Mbp	NM_001025245			Mbp			NA
liver_14_5_REP2.mLb.clN_peak_2233	chr19	57452657	57453423	+	766	NA	exon (Trub1, exon 1 of 8)	-exon (Trub1, exon 1 of 8)	134	Trub1	Trub1	NM_028115			Trub1			NA
liver_14_5_REP2.mLb.clN_peak_1260	chr19	5845308	5846919	+	766	NA	promoter-TSS (Neat1)	-promoter-TSS (Neat1)	-635	Neat1	Neat1	NR_003513			Neat1			NA
liver_14_5_REP2.mLb.clN_peak_239	chr18	23751974	23752953	+	764	NA	promoter-TSS (Gm15972)	-promoter-TSS (Gm15972)	-158	Gm15972	Gm15972	NR_126066			Gm15972			NA
liver_14_5_REP2.mLb.clN_peak_1409	chr19	9989572	9990315	+	763	NA	intron (Best1, intron 7 of 11)	-intron (Best1, intron 7 of 11)	9343	Fth1	Fth1	NR_073181			Fth1			NA
liver_14_5_REP2.mLb.clN_peak_1597	chr19	24173706	24174598	+	760	NA	promoter-TSS (Tjp2)	-promoter-TSS (Tjp2)	50976	Tjp2	Tjp2	NM_001376368			Tjp2			NA
liver_14_5_REP2.mLb.clN_peak_633	chr18	60709111	60710748	+	759	NA	intron (Ndst1, intron 2 of 14)	-intron (Ndst1, intron 2 of 14)	38736	Ndst1	Ndst1	NM_001348100			Ndst1			NA
liver_14_5_REP2.mLb.clN_peak_1491	chr19	12501092	12502265	+	757	NA	exon (Dtx4, exon 1 of 9)	-exon (Dtx4, exon 1 of 9)	318	Dtx4	Dtx4	NM_172442			Dtx4			NA
liver_14_5_REP2.mLb.clN_peak_1944	chr19	44069129	44070111	+	756	NA	promoter-TSS (Erlin1)	-promoter-TSS (Erlin1)	66	Erlin1	Erlin1	NM_145502			Erlin1			NA
liver_14_5_REP2.mLb.clN_peak_369	chr18	35751731	35752525	+	754	NA	Intergenic	Intergenic	-11574	Sting1	Sting1	NM_028261			Sting1			NA
liver_14_5_REP2.mLb.clN_peak_1281	chr19	6061057	6061718	+	754	NA	exon (Znhit2, exon 1 of 1)	-exon (Znhit2, exon 1 of 1)	180	Znhit2	Znhit2	NM_013859			Znhit2			NA
liver_14_5_REP2.mLb.clN_peak_395	chr18	36515359	36516183	+	750	NA	promoter-TSS (Hbegf)	-promoter-TSS (Hbegf)	34	Hbegf	Hbegf	NM_010415			Hbegf			NA
liver_14_5_REP2.mLb.clN_peak_922	chr18	76034746	76035612	+	748	NA	intron (Zbtb7c, intron 3 of 4)	-intron (Zbtb7c, intron 3 of 4)	63292	2900057B20Rik	2900057B20Rik	NR_045365			2900057B20Rik			NA
liver_14_5_REP2.mLb.clN_peak_2000	chr19	46003354	46004047	+	747	NA	exon (Hps6, exon 1 of 1)	-exon (Hps6, exon 1 of 1)	222	Hps6	Hps6	NM_176785			Hps6			NA
liver_14_5_REP2.mLb.clN_peak_649	chr18	61155007	61155412	+	742	NA	intron (Hmgxb3, intron 8 of 19)	-intron (Hmgxb3, intron 9 of 20)	21840	Hmgxb3	Hmgxb3	NM_134134			Hmgxb3			NA
liver_14_5_REP2.mLb.clN_peak_2087	chr19	47518369	47519604	+	742	NA	intron (Stn1, intron 4 of 9)	-intron (Stn1, intron 4 of 9)	6004	Gm19557	Gm19557	NR_045322			Gm19557			NA
liver_14_5_REP2.mLb.clN_peak_1666	chr19	29367076	29367698	+	728	NA	promoter-TSS (Cd274)	-promoter-TSS (Cd274)	-51	Cd274	Cd274	NM_021893			Cd274			NA
liver_14_5_REP2.mLb.clN_peak_860	chr18	70657174	70658034	+	727	NA	Intergenic	Intergenic	89312	Mbd2	Mbd2	NM_001311071			Mbd2			NA
liver_14_5_REP2.mLb.clN_peak_1036	chr18	82644518	82645056	+	725	NA	intron (Zfp236, intron 9 of 29)	-intron (Zfp236, intron 10 of 30)	48128	Zfp236	Zfp236	NM_177832			Zfp236			NA
liver_14_5_REP2.mLb.clN_peak_435	chr18	38269987	38270928	+	723	NA	intron (Pcdh12, intron 3 of 3)	-intron (Pcdh12, intron 3 of 3)	13944	Pcdh12	Pcdh12	NM_017378			Pcdh12			NA
liver_14_5_REP2.mLb.clN_peak_527	chr18	47334385	47335107	+	723	NA	intron (Sema6a, intron 1 of 18)	-intron (Sema6a, intron 1 of 17)	34122	Sema6a	Sema6a	NM_018744			Sema6a			NA
liver_14_5_REP2.mLb.clN_peak_1676	chr19	29610916	29611463	+	723	NA	exon (Ermp1, exon 15 of 15)	-exon (Ermp1, exon 15 of 15)	37226	Ermp1	Ermp1	NM_001081213			Ermp1			NA
liver_14_5_REP2.mLb.clN_peak_182	chr18	15276351	15277055	+	722	NA	Intergenic	Intergenic	-125257	Kctd1	Kctd1	NM_134112			Kctd1			NA
liver_14_5_REP2.mLb.clN_peak_1203	chr19	5023503	5024624	+	721	NA	promoter-TSS (Slc29a2)	-promoter-TSS (Slc29a2)	57	Slc29a2	Slc29a2	NM_007854			Slc29a2			NA
liver_14_5_REP2.mLb.clN_peak_2129	chr19	53420994	53421745	+	720	NA	Intergenic	Intergenic	-30735	Smndc1	Smndc1	NM_172429			Smndc1			NA
liver_14_5_REP2.mLb.clN_peak_368	chr18	35729990	35730758	+	719	NA	exon (1700066B19Rik, exon 2 of 2)	-exon (1700066B19Rik, exon 2 of 2)	3385	1700066B19Rik	1700066B19Rik	NM_001033168			1700066B19Rik			NA
liver_14_5_REP2.mLb.clN_peak_50	chr18	5908097	5909024	+	717	NA	Intergenic	Intergenic	227538	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
liver_14_5_REP2.mLb.clN_peak_504	chr18	46198353	46199520	+	717	NA	promoter-TSS (Trim36)	-promoter-TSS (Trim36)	13671	Trim36	Trim36	NM_178872			Trim36			NA
liver_14_5_REP2.mLb.clN_peak_1925	chr19	43493346	43493832	+	716	NA	intron (Cnnm1, intron 9 of 10)	-intron (Cnnm1, intron 10 of 11)	31016	Got1	Got1	NM_010324			Got1			NA
liver_14_5_REP2.mLb.clN_peak_1204	chr19	5038256	5039185	+	715	NA	promoter-TSS (B4gat1)	-promoter-TSS (B4gat1)	-106	B4gat1	B4gat1	NM_175383			B4gat1			NA
liver_14_5_REP2.mLb.clN_peak_1678	chr19	29649760	29650062	+	707	NA	Intergenic	Intergenic	-1496	Ermp1	Ermp1	NM_001081213			Ermp1			NA
liver_14_5_REP2.mLb.clN_peak_750	chr18	65445655	65446365	+	706	NA	intron (Malt1, intron 3 of 15)	-intron (Malt1, intron 3 of 16)	15020	Malt1	Malt1	NM_001365019			Malt1			NA
liver_14_5_REP2.mLb.clN_peak_1553	chr19	18695267	18695911	+	705	NA	intron (Carnmt1, intron 6 of 7)	-intron (Carnmt1, intron 6 of 7)	-17647	D030056L22Rik	D030056L22Rik	NM_001374130			D030056L22Rik			NA
liver_14_5_REP2.mLb.clN_peak_517	chr18	46541779	46542396	+	703	NA	Intergenic	Intergenic	-16116	Fem1c	Fem1c	NM_173423			Fem1c			NA
liver_14_5_REP2.mLb.clN_peak_815	chr18	68195931	68196376	+	701	NA	intron (Ldlrad4, intron 3 of 5)	-intron (Ldlrad4, intron 3 of 5)	64820	Mir7219	Mir7219	NR_106078			Mir7219			NA
liver_14_5_REP2.mLb.clN_peak_1035	chr18	82633835	82634845	+	701	NA	intron (Zfp236, intron 13 of 29)	-intron (Zfp236, intron 14 of 30)	58575	Zfp236	Zfp236	NM_177832			Zfp236			NA
liver_14_5_REP2.mLb.clN_peak_1893	chr19	41895618	41896471	+	690	NA	exon (Rrp12, exon 1 of 34)	-exon (Rrp12, exon 1 of 34)	109	Rrp12	Rrp12	NM_199447			Rrp12			NA
liver_14_5_REP2.mLb.clN_peak_2055	chr19	46900660	46901154	+	686	NA	intron (Nt5c2, intron 6 of 18)	-intron (Nt5c2, intron 5 of 17)	61444	Nt5c2	Nt5c2	NR_028353			Nt5c2			NA
liver_14_5_REP2.mLb.clN_peak_1131	chr19	3906702	3907625	+	685	NA	promoter-TSS (Tcirg1)	-promoter-TSS (Tcirg1)	-1933	Tcirg1	Tcirg1	NM_001136091			Tcirg1			NA
liver_14_5_REP2.mLb.clN_peak_1034	chr18	82615257	82615718	+	683	NA	intron (Zfp236, intron 24 of 29)	-intron (Zfp236, intron 25 of 30)	77428	Zfp236	Zfp236	NM_177832			Zfp236			NA
liver_14_5_REP2.mLb.clN_peak_1961	chr19	44554722	44555730	+	681	NA	intron (Ndufb8, intron 1 of 4)	-intron (Ndufb8, intron 1 of 4)	216	Ndufb8	Ndufb8	NM_001347447			Ndufb8			NA
liver_14_5_REP2.mLb.clN_peak_2142	chr19	53809184	53810444	+	681	NA	intron (Rbm20, intron 1 of 13)	-intron (Rbm20, intron 1 of 13)	-82417	Pdcd4	Pdcd4	NM_001168492			Pdcd4			NA
liver_14_5_REP2.mLb.clN_peak_1283	chr19	6076730	6077554	+	677	NA	promoter-TSS (Vps51)	-promoter-TSS (Vps51)	45	Vps51	Vps51	NM_001081041			Vps51			NA
liver_14_5_REP2.mLb.clN_peak_1722	chr19	32388033	32389601	+	676	NA	promoter-TSS (Sgms1)	-promoter-TSS (Sgms1)	-305	Sgms1	Sgms1	NM_001168526			Sgms1			NA
liver_14_5_REP2.mLb.clN_peak_704	chr18	63672474	63672773	+	670	NA	intron (Txnl1, intron 6 of 7)	-intron (Txnl1, intron 6 of 7)	19736	Txnl1	Txnl1	NM_016792			Txnl1			NA
liver_14_5_REP2.mLb.clN_peak_1926	chr19	43494601	43495454	+	669	NA	exon (Cnnm1, exon 12 of 12)	-exon (Cnnm1, exon 12 of 12)	29578	Got1	Got1	NM_010324			Got1			NA
liver_14_5_REP2.mLb.clN_peak_1376	chr19	8837100	8838245	+	668	NA	exon (Bscl2, exon 1 of 12)	-exon (Bscl2, exon 1 of 12)	1574	Gng3	Gng3	NM_010316			Gng3			NA
liver_14_5_REP2.mLb.clN_peak_2192	chr19	55741274	55741923	+	668	NA	promoter-TSS (Tcf7l2)	-promoter-TSS (Tcf7l2)	-212	Tcf7l2	Tcf7l2	NM_001142921			Tcf7l2			NA
liver_14_5_REP2.mLb.clN_peak_153	chr18	12773304	12774170	+	666	NA	intron (Osbpl1a, intron 2 of 11)	-intron (Osbpl1a, intron 5 of 14)	32382	Cabyr	Cabyr	NM_181731			Cabyr			NA
liver_14_5_REP2.mLb.clN_peak_2006	chr19	46044814	46046097	+	666	NA	promoter-TSS (Ldb1)	-promoter-TSS (Ldb1)	-5834	Ldb1	Ldb1	NM_001360336			Ldb1			NA
liver_14_5_REP2.mLb.clN_peak_2067	chr19	47050032	47051073	+	663	NA	exon (Pcgf6, exon 1 of 11)	-exon (Pcgf6, exon 1 of 11)	354	Pcgf6	Pcgf6	NM_027654			Pcgf6			NA
liver_14_5_REP2.mLb.clN_peak_392	chr18	36384031	36384686	+	663	NA	intron (Cystm1, intron 2 of 2)	-intron (Cystm1, intron 2 of 2)	35585	Cystm1	Cystm1	NM_001081365			Cystm1			NA
liver_14_5_REP2.mLb.clN_peak_1029	chr18	82577730	82578228	+	663	NA	intron (Mbp, intron 4 of 4)	-intron (Mbp, intron 5 of 6)	102856	Mbp	Mbp	NM_001025245			Mbp			NA
liver_14_5_REP2.mLb.clN_peak_951	chr18	77869740	77870489	+	661	NA	intron (Pstpip2, intron 6 of 14)	-intron (Pstpip2, intron 6 of 14)	-68352	Epg5	Epg5	NM_001195633			Epg5			NA
liver_14_5_REP2.mLb.clN_peak_1523	chr19	16625395	16626324	+	657	NA	intron (Vps13a, intron 68 of 71)	-intron (Vps13a, intron 68 of 71)	155074	Vps13a	Vps13a	NM_173028			Vps13a			NA
liver_14_5_REP2.mLb.clN_peak_1151	chr19	4131030	4131965	+	653	NA	exon (Tmem134, exon 8 of 8)	-exon (Tmem134, exon 8 of 8)	5537	Tmem134	Tmem134	NM_025889			Tmem134			NA
liver_14_5_REP2.mLb.clN_peak_427	chr18	38049720	38050174	+	651	NA	Intergenic	Intergenic	-52373	Arap3	Arap3	NM_139206			Arap3			NA
liver_14_5_REP2.mLb.clN_peak_1894	chr19	41906217	41907315	+	643	NA	Intergenic	Intergenic	-5105	Pgam1	Pgam1	NM_023418			Pgam1			NA
liver_14_5_REP2.mLb.clN_peak_1460	chr19	10937182	10937581	+	643	NA	intron (Ptgdr2, intron 1 of 2)	-intron (Ptgdr2, intron 1 of 2)	221	Ptgdr2	Ptgdr2	NM_009962			Ptgdr2			NA
liver_14_5_REP2.mLb.clN_peak_2294	chr19	60842971	60843876	+	641	NA	intron (Sfxn4, intron 12 of 13)	-intron (Sfxn4, intron 13 of 14)	18005	Sfxn4	Sfxn4	NM_053198			Sfxn4			NA
liver_14_5_REP2.mLb.clN_peak_1165	chr19	4282885	4283609	+	638	NA	promoter-TSS (Ankrd13d)	-promoter-TSS (Ankrd13d)	-110	Ankrd13d	Ankrd13d	NM_026720			Ankrd13d			NA
liver_14_5_REP2.mLb.clN_peak_51	chr18	5914615	5915423	+	635	NA	Intergenic	Intergenic	221079	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
liver_14_5_REP2.mLb.clN_peak_157	chr18	12809821	12811436	+	633	NA	intron (Osbpl1a, intron 1 of 11)	-intron (Osbpl1a, intron 4 of 14)	9279	Osbpl1a	Osbpl1a	NR_045524			Osbpl1a			NA
liver_14_5_REP2.mLb.clN_peak_1181	chr19	4566926	4567211	+	633	NA	intron (Pcx, intron 2 of 20)	-intron (Pcx, intron 2 of 20)	-27251	Pcx	Pcx	NM_001162946			Pcx			NA
liver_14_5_REP2.mLb.clN_peak_869	chr18	73787738	73788950	+	629	NA	intron (Me2, intron 11 of 15)	-intron (Me2, intron 11 of 15)	27094	Me2	Me2	NR_157387			Me2			NA
liver_14_5_REP2.mLb.clN_peak_43	chr18	5624289	5625120	+	627	NA	intron (Zeb1, intron 2 of 8)	-intron (Zeb1, intron 2 of 8)	-32267	Gm10125	Gm10125	NR_033552			Gm10125			NA
