PeakID (cmd=annotatePeaks.pl kidney_15_5_REP2.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
kidney_15_5_REP2.mLb.clN_peak_2894	chr19	45548266	45548829	+	170	NA	Intergenic	Intergenic	12017	Poll	Poll	NM_001330506			Poll			NA
kidney_15_5_REP2.mLb.clN_peak_245	chr18	15052176	15053886	+	170	NA	intron (Kctd1, intron 1 of 4)	-intron (Kctd1, intron 1 of 4)	64036	4933424G05Rik	4933424G05Rik	NR_045372			4933424G05Rik			NA
kidney_15_5_REP2.mLb.clN_peak_2655	chr19	36687909	36688872	+	170	NA	intron (Hectd2os, intron 1 of 4)	-intron (Hectd2os, intron 1 of 4)	1089	Hectd2os	Hectd2os	NR_033510			Hectd2os			NA
kidney_15_5_REP2.mLb.clN_peak_2237	chr19	15946749	15947282	+	169	NA	Intergenic	Intergenic	-21956	Psat1	Psat1	NM_177420			Psat1			NA
kidney_15_5_REP2.mLb.clN_peak_1776	chr18	87017770	87018425	+	169	NA	Intergenic	Intergenic	306032	Cbln2	Cbln2	NM_001361142			Cbln2			NA
kidney_15_5_REP2.mLb.clN_peak_1162	chr18	61786222	61787015	+	169	NA	promoter-TSS (Afap1l1)	-promoter-TSS (Afap1l1)	44	Afap1l1	Afap1l1	NM_178928			Afap1l1			NA
kidney_15_5_REP2.mLb.clN_peak_2628	chr19	34662096	34662651	+	168	NA	Intergenic	Intergenic	21484	Ifit1	Ifit1	NM_008331			Ifit1			NA
kidney_15_5_REP2.mLb.clN_peak_1198	chr18	63653264	63653973	+	168	NA	Intergenic	Intergenic	38741	Txnl1	Txnl1	NM_016792			Txnl1			NA
kidney_15_5_REP2.mLb.clN_peak_1279	chr18	66458300	66458889	+	168	NA	promoter-TSS (Pmaip1)	-promoter-TSS (Pmaip1)	-10	Pmaip1	Pmaip1	NM_021451			Pmaip1			NA
kidney_15_5_REP2.mLb.clN_peak_61	chr18	5186494	5187730	+	167	NA	Intergenic	Intergenic	-21381	Gm26682	Gm26682	NR_153824			Gm26682			NA
kidney_15_5_REP2.mLb.clN_peak_1157	chr18	61665230	61666745	+	167	NA	promoter-TSS (Carmn)	-promoter-TSS (Carmn)	-449	Carmn	Carmn	NR_045402			Carmn			NA
kidney_15_5_REP2.mLb.clN_peak_2270	chr19	17163570	17164265	+	167	NA	intron (Prune2, intron 9 of 19)	-intron (Prune2, intron 9 of 19)	192750	Gcnt1	Gcnt1	NM_173442			Gcnt1			NA
kidney_15_5_REP2.mLb.clN_peak_23	chr18	4193663	4194657	+	167	NA	Intergenic	Intergenic	28328	Lyzl1	Lyzl1	NM_026092			Lyzl1			NA
kidney_15_5_REP2.mLb.clN_peak_2740	chr19	41206442	41207239	+	166	NA	promoter-TSS (Tll2)	-promoter-TSS (Tll2)	-66	Tll2	Tll2	NM_011904			Tll2			NA
kidney_15_5_REP2.mLb.clN_peak_2251	chr19	16435539	16436499	+	166	NA	exon (Gna14, exon 1 of 7)	-exon (Gna14, exon 1 of 7)	352	Gna14	Gna14	NM_008137			Gna14			NA
kidney_15_5_REP2.mLb.clN_peak_1146	chr18	61536278	61536943	+	166	NA	promoter-TSS (Arhgef37)	-promoter-TSS (Arhgef37)	-74	Arhgef37	Arhgef37	NM_177828			Arhgef37			NA
kidney_15_5_REP2.mLb.clN_peak_1568	chr18	77565056	77565918	+	165	NA	promoter-TSS (Rnf165)	-promoter-TSS (Rnf165)	-351	Rnf165	Rnf165	NM_001164504			Rnf165			NA
kidney_15_5_REP2.mLb.clN_peak_2669	chr19	37174188	37174936	+	165	NA	exon (Cpeb3, exon 2 of 11)	-exon (Cpeb3, exon 2 of 11)	719	A330032B11Rik	A330032B11Rik	NR_045329			A330032B11Rik			NA
kidney_15_5_REP2.mLb.clN_peak_2021	chr19	7056491	7058260	+	165	NA	intron (Macrod1, intron 1 of 10)	-intron (Macrod1, intron 1 of 10)	607	Macrod1	Macrod1	NM_134147			Macrod1			NA
kidney_15_5_REP2.mLb.clN_peak_2314	chr19	19058763	19059245	+	165	NA	intron (Rorb, intron 1 of 9)	-intron (Rorb, intron 1 of 9)	-57887	Rorb	Rorb	NM_001289921			Rorb			NA
kidney_15_5_REP2.mLb.clN_peak_1040	chr18	57465330	57465792	+	164	NA	Intergenic	Intergenic	-2925	Ctxn3	Ctxn3	NM_001134697			Ctxn3			NA
kidney_15_5_REP2.mLb.clN_peak_659	chr18	36759670	36760541	+	163	NA	promoter-TSS (Wdr55)	-promoter-TSS (Wdr55)	-117	Wdr55	Wdr55	NR_154585			Wdr55			NA
kidney_15_5_REP2.mLb.clN_peak_1087	chr18	60375617	60376072	+	163	NA	promoter-TSS (Iigp1)	-promoter-TSS (Iigp1)	2228	Iigp1	Iigp1	NM_001146275			Iigp1			NA
kidney_15_5_REP2.mLb.clN_peak_1844	chr19	4162778	4163484	+	163	NA	intron (Rps6kb2, intron 1 of 14)	-intron (Rps6kb2, intron 1 of 14)	252	Rps6kb2	Rps6kb2	NR_153660			Rps6kb2			NA
kidney_15_5_REP2.mLb.clN_peak_2359	chr19	22800471	22801077	+	163	NA	intron (Trpm3, intron 8 of 26)	-intron (Trpm3, intron 8 of 24)	50169	Mir204	Mir204	NR_029591			Mir204			NA
kidney_15_5_REP2.mLb.clN_peak_2397	chr19	24271480	24272129	+	163	NA	intron (Fxn, intron 3 of 4)	-intron (Fxn, intron 3 of 4)	8786	Fxn	Fxn	NR_157400			Fxn			NA
kidney_15_5_REP2.mLb.clN_peak_395	chr18	24714282	24715089	+	163	NA	intron (Fhod3, intron 1 of 26)	-intron (Fhod3, intron 1 of 24)	6062	Fhod3	Fhod3	NM_175276			Fhod3			NA
kidney_15_5_REP2.mLb.clN_peak_418	chr18	25521994	25522453	+	162	NA	intron (Celf4, intron 3 of 13)	-intron (Celf4, intron 3 of 12)	231934	Celf4	Celf4	NM_001362278			Celf4			NA
kidney_15_5_REP2.mLb.clN_peak_2930	chr19	46356757	46357239	+	162	NA	intron (Mfsd13a, intron 1 of 8)	-intron (Mfsd13a, intron 1 of 8)	118	Mfsd13a	Mfsd13a	NM_029186			Mfsd13a			NA
kidney_15_5_REP2.mLb.clN_peak_2364	chr19	23056952	23057860	+	161	NA	Intergenic	Intergenic	-83820	Klf9	Klf9	NM_010638			Klf9			NA
kidney_15_5_REP2.mLb.clN_peak_632	chr18	36068140	36069826	+	161	NA	intron (Nrg2, intron 1 of 9)	-intron (Nrg2, intron 1 of 9)	-37220	4930471G03Rik	4930471G03Rik	NR_015571			4930471G03Rik			NA
kidney_15_5_REP2.mLb.clN_peak_136	chr18	9707434	9708753	+	161	NA	intron (Colec12, intron 1 of 9)	-intron (Colec12, intron 1 of 9)	445	Colec12	Colec12	NM_130449			Colec12			NA
kidney_15_5_REP2.mLb.clN_peak_1055	chr18	58052740	58054157	+	160	NA	intron (Fbn2, intron 40 of 64)	-intron (Fbn2, intron 40 of 64)	156478	Fbn2	Fbn2	NM_010181			Fbn2			NA
kidney_15_5_REP2.mLb.clN_peak_583	chr18	35134599	35134872	+	160	NA	intron (Ctnna1, intron 1 of 17)	-intron (Ctnna1, intron 1 of 17)	15823	Ctnna1	Ctnna1	NM_009818			Ctnna1			NA
kidney_15_5_REP2.mLb.clN_peak_3145	chr19	56029517	56030290	+	160	NA	Intergenic	Intergenic	-258009	Habp2	Habp2	NM_001329935			Habp2			NA
kidney_15_5_REP2.mLb.clN_peak_1286	chr18	67088149	67088895	+	159	NA	exon (Gnal, exon 1 of 12)	-exon (Gnal, exon 1 of 12)	224	Gnal	Gnal	NM_177137			Gnal			NA
kidney_15_5_REP2.mLb.clN_peak_3079	chr19	53649554	53650154	+	159	NA	Intergenic	Intergenic	-27452	Rbm20	Rbm20	NM_001170847			Rbm20			NA
kidney_15_5_REP2.mLb.clN_peak_1769	chr18	85660752	85661315	+	159	NA	Intergenic	Intergenic	-709509	Timm21	Timm21	NR_160856			Timm21			NA
kidney_15_5_REP2.mLb.clN_peak_810	chr18	43759041	43760247	+	158	NA	Intergenic	Intergenic	-4657	Scgb3a2	Scgb3a2	NM_001289643			Scgb3a2			NA
kidney_15_5_REP2.mLb.clN_peak_1039	chr18	57386289	57387130	+	158	NA	intron (Prrc1, intron 8 of 8)	-intron (Prrc1, intron 8 of 8)	-18706	Gm19500	Gm19500	NR_152223			Gm19500			NA
kidney_15_5_REP2.mLb.clN_peak_490	chr18	32036541	32037331	+	157	NA	promoter-TSS (Myo7b)	-promoter-TSS (Myo7b)	-5	Myo7b	Myo7b	NM_032394			Myo7b			NA
kidney_15_5_REP2.mLb.clN_peak_627	chr18	35939498	35940095	+	157	NA	Intergenic	Intergenic	-25034	Psd2	Psd2	NR_110349			Psd2			NA
kidney_15_5_REP2.mLb.clN_peak_3082	chr19	53676445	53677645	+	157	NA	promoter-TSS (Rbm20)	-promoter-TSS (Rbm20)	-261	Rbm20	Rbm20	NM_001170847			Rbm20			NA
kidney_15_5_REP2.mLb.clN_peak_3009	chr19	48408013	48408679	+	156	NA	intron (Sorcs3, intron 2 of 26)	-intron (Sorcs3, intron 2 of 26)	202321	Sorcs3	Sorcs3	NM_025696			Sorcs3			NA
kidney_15_5_REP2.mLb.clN_peak_25	chr18	4232800	4233308	+	156	NA	Intergenic	Intergenic	67222	Lyzl1	Lyzl1	NM_026092			Lyzl1			NA
kidney_15_5_REP2.mLb.clN_peak_433	chr18	25754136	25754750	+	156	NA	promoter-TSS (Celf4)	-promoter-TSS (Celf4)	-286	Celf4	Celf4	NM_001362278			Celf4			NA
kidney_15_5_REP2.mLb.clN_peak_2236	chr19	15941311	15941840	+	156	NA	Intergenic	Intergenic	-16516	Psat1	Psat1	NM_177420			Psat1			NA
kidney_15_5_REP2.mLb.clN_peak_637	chr18	36274660	36275398	+	156	NA	Intergenic	Intergenic	-6076	Pura	Pura	NM_008989			Pura			NA
kidney_15_5_REP2.mLb.clN_peak_1400	chr18	71281232	71281639	+	156	NA	intron (Dcc, intron 27 of 28)	-intron (Dcc, intron 27 of 28)	713143	Mbd2	Mbd2	NM_001311071			Mbd2			NA
kidney_15_5_REP2.mLb.clN_peak_2820	chr19	43968466	43968918	+	155	NA	intron (Cpn1, intron 4 of 8)	-intron (Cpn1, intron 4 of 8)	17828	Cpn1	Cpn1	NM_030703			Cpn1			NA
kidney_15_5_REP2.mLb.clN_peak_393	chr18	24653398	24654375	+	155	NA	exon (Mocos, exon 1 of 15)	-exon (Mocos, exon 1 of 15)	195	Mocos	Mocos	NM_026779			Mocos			NA
kidney_15_5_REP2.mLb.clN_peak_2707	chr19	38372514	38373022	+	155	NA	Intergenic	Intergenic	-23212	Slc35g1	Slc35g1	NM_175507			Slc35g1			NA
kidney_15_5_REP2.mLb.clN_peak_2435	chr19	25222059	25222719	+	155	NA	Intergenic	Intergenic	-14586	Kank1	Kank1	NM_181404			Kank1			NA
kidney_15_5_REP2.mLb.clN_peak_1516	chr18	75695186	75695921	+	154	NA	intron (Ctif, intron 1 of 11)	-intron (Ctif, intron 1 of 11)	2143	Ctif	Ctif	NM_201354			Ctif			NA
kidney_15_5_REP2.mLb.clN_peak_2330	chr19	21159339	21160249	+	154	NA	Intergenic	Intergenic	55084	4930554I06Rik	4930554I06Rik	NR_126458			4930554I06Rik			NA
kidney_15_5_REP2.mLb.clN_peak_1804	chr19	3344948	3345761	+	154	NA	intron (Cpt1a, intron 1 of 18)	-intron (Cpt1a, intron 1 of 18)	22053	Cpt1a	Cpt1a	NM_013495			Cpt1a			NA
kidney_15_5_REP2.mLb.clN_peak_1117	chr18	60963094	60964175	+	154	NA	promoter-TSS (Camk2a)	-promoter-TSS (Camk2a)	5561	Mir6982	Mir6982	NR_105948			Mir6982			NA
kidney_15_5_REP2.mLb.clN_peak_1730	chr18	84070304	84071024	+	154	NA	intron (Tshz1, intron 1 of 1)	-intron (Tshz1, intron 1 of 1)	15801	Tshz1	Tshz1	NM_001364993			Tshz1			NA
kidney_15_5_REP2.mLb.clN_peak_1229	chr18	65071934	65072484	+	154	NA	intron (Nedd4l, intron 1 of 29)	-intron (Nedd4l, intron 2 of 30)	48682	Nedd4l	Nedd4l	NM_031881			Nedd4l			NA
kidney_15_5_REP2.mLb.clN_peak_1164	chr18	61910841	61912144	+	153	NA	exon (Ablim3, exon 1 of 23)	-exon (Ablim3, exon 1 of 23)	332	Ablim3	Ablim3	NM_001164491			Ablim3			NA
kidney_15_5_REP2.mLb.clN_peak_1971	chr19	6076571	6077539	+	153	NA	exon (Vps51, exon 1 of 10)	-exon (Vps51, exon 1 of 10)	132	Vps51	Vps51	NM_001081041			Vps51			NA
kidney_15_5_REP2.mLb.clN_peak_234	chr18	14615771	14616306	+	153	NA	Intergenic	Intergenic	66876	Ss18	Ss18	NM_001161371			Ss18			NA
kidney_15_5_REP2.mLb.clN_peak_3191	chr19	57491088	57491360	+	153	NA	TTS (Trub1)	-TTS (Trub1)	-17842	6720468P15Rik	6720468P15Rik	NR_040307			6720468P15Rik			NA
kidney_15_5_REP2.mLb.clN_peak_463	chr18	30529838	30530711	+	153	NA	Intergenic	Intergenic	257409	Pik3c3	Pik3c3	NR_151699			Pik3c3			NA
kidney_15_5_REP2.mLb.clN_peak_1505	chr18	75464938	75465783	+	152	NA	intron (Ctif, intron 10 of 11)	-intron (Ctif, intron 10 of 11)	-49285	Gm10532	Gm10532	NR_045879			Gm10532			NA
kidney_15_5_REP2.mLb.clN_peak_1078	chr18	59076847	59077798	+	152	NA	TTS (Minar2)	-TTS (Minar2)	14941	Minar2	Minar2	NM_173759			Minar2			NA
kidney_15_5_REP2.mLb.clN_peak_168	chr18	11239566	11240426	+	151	NA	Intergenic	Intergenic	-187429	Gata6os	Gata6os	NR_105023			Gata6os			NA
kidney_15_5_REP2.mLb.clN_peak_3105	chr19	54616960	54617672	+	151	NA	Intergenic	Intergenic	482161	Gpam	Gpam	NM_001356285			Gpam			NA
kidney_15_5_REP2.mLb.clN_peak_258	chr18	15604525	15604926	+	151	NA	intron (Chst9, intron 3 of 5)	-intron (Chst9, intron 3 of 5)	155432	Chst9	Chst9	NM_199055			Chst9			NA
kidney_15_5_REP2.mLb.clN_peak_2334	chr19	21340467	21341344	+	151	NA	Intergenic	Intergenic	68627	Zfand5	Zfand5	NM_009551			Zfand5			NA
kidney_15_5_REP2.mLb.clN_peak_717	chr18	38531668	38532072	+	150	NA	Intergenic	Intergenic	69477	Spry4	Spry4	NM_011898			Spry4			NA
kidney_15_5_REP2.mLb.clN_peak_2104	chr19	9954372	9955044	+	150	NA	Intergenic	Intergenic	-25892	Fth1	Fth1	NR_073181			Fth1			NA
kidney_15_5_REP2.mLb.clN_peak_2154	chr19	10740648	10741342	+	150	NA	promoter-TSS (A430093F15Rik)	-promoter-TSS (A430093F15Rik)	48	A430093F15Rik	A430093F15Rik	NR_027805			A430093F15Rik			NA
kidney_15_5_REP2.mLb.clN_peak_1854	chr19	4231394	4232394	+	150	NA	promoter-TSS (Pold4)	-promoter-TSS (Pold4)	-521	Pold4	Pold4	NR_132280			Pold4			NA
kidney_15_5_REP2.mLb.clN_peak_2651	chr19	36646300	36646876	+	150	NA	intron (Hectd2os, intron 2 of 4)	-intron (Hectd2os, intron 2 of 4)	42891	Hectd2os	Hectd2os	NR_033510			Hectd2os			NA
kidney_15_5_REP2.mLb.clN_peak_1704	chr18	82953890	82954410	+	150	NA	intron (Zfp516, intron 1 of 5)	-intron (Zfp516, intron 1 of 5)	-33590	4930592I03Rik	4930592I03Rik	NR_033307			4930592I03Rik			NA
kidney_15_5_REP2.mLb.clN_peak_2914	chr19	46003286	46004073	+	149	NA	exon (Hps6, exon 1 of 1)	-exon (Hps6, exon 1 of 1)	201	Hps6	Hps6	NM_176785			Hps6			NA
kidney_15_5_REP2.mLb.clN_peak_194	chr18	12333727	12334499	+	149	NA	exon (Lama3, exon 1 of 75)	-exon (Lama3, exon 1 of 75)	179	Lama3	Lama3	NM_001347461			Lama3			NA
kidney_15_5_REP2.mLb.clN_peak_1471	chr18	74904683	74905335	+	149	NA	Intergenic	Intergenic	56254	Lipg	Lipg	NM_010720			Lipg			NA
kidney_15_5_REP2.mLb.clN_peak_2260	chr19	16598781	16599692	+	149	NA	intron (Gna14, intron 3 of 6)	-intron (Gna14, intron 3 of 6)	163569	Gna14	Gna14	NM_008137			Gna14			NA
kidney_15_5_REP2.mLb.clN_peak_10	chr18	3666270	3667528	+	149	NA	Intergenic	Intergenic	158942	Bambi	Bambi	NM_026505			Bambi			NA
kidney_15_5_REP2.mLb.clN_peak_1379	chr18	70420086	70420680	+	149	NA	Intergenic	Intergenic	-52071	Stard6	Stard6	NM_001289648			Stard6			NA
kidney_15_5_REP2.mLb.clN_peak_2664	chr19	36904125	36904669	+	149	NA	Intergenic	Intergenic	15202	Fgfbp3	Fgfbp3	NM_028263			Fgfbp3			NA
kidney_15_5_REP2.mLb.clN_peak_2703	chr19	38232184	38232813	+	148	NA	Intergenic	Intergenic	-8346	Fra10ac1	Fra10ac1	NM_027466			Fra10ac1			NA
kidney_15_5_REP2.mLb.clN_peak_311	chr18	21247783	21248469	+	148	NA	intron (Garem1, intron 1 of 5)	-intron (Garem1, intron 1 of 5)	52013	Garem1	Garem1	NM_001033445			Garem1			NA
kidney_15_5_REP2.mLb.clN_peak_786	chr18	42877154	42877920	+	148	NA	intron (Ppp2r2b, intron 1 of 8)	-intron (Ppp2r2b, intron 1 of 8)	21969	Ppp2r2b	Ppp2r2b	NR_073583			Ppp2r2b			NA
kidney_15_5_REP2.mLb.clN_peak_1391	chr18	70652101	70652618	+	147	NA	Intergenic	Intergenic	84067	Mbd2	Mbd2	NM_001311071			Mbd2			NA
kidney_15_5_REP2.mLb.clN_peak_824	chr18	44811568	44812418	+	147	NA	intron (Mcc, intron 1 of 18)	-intron (Mcc, intron 1 of 18)	-16672	Ythdc2	Ythdc2	NM_001163013			Ythdc2			NA
kidney_15_5_REP2.mLb.clN_peak_1120	chr18	61025416	61025938	+	147	NA	intron (Cdx1, intron 1 of 2)	-intron (Cdx1, intron 1 of 2)	10522	Cdx1	Cdx1	NM_009880			Cdx1			NA
kidney_15_5_REP2.mLb.clN_peak_1318	chr18	67932598	67934081	+	147	NA	exon (Ldlrad4, exon 1 of 6)	-exon (Ldlrad4, exon 1 of 6)	166	Ldlrad4	Ldlrad4	NM_172631			Ldlrad4			NA
kidney_15_5_REP2.mLb.clN_peak_606	chr18	35730217	35730620	+	147	NA	exon (1700066B19Rik, exon 2 of 2)	-exon (1700066B19Rik, exon 2 of 2)	3429	1700066B19Rik	1700066B19Rik	NM_001033168			1700066B19Rik			NA
kidney_15_5_REP2.mLb.clN_peak_457	chr18	30365409	30365928	+	147	NA	Intergenic	Intergenic	92803	Pik3c3	Pik3c3	NR_151699			Pik3c3			NA
kidney_15_5_REP2.mLb.clN_peak_344	chr18	22418959	22419555	+	147	NA	intron (Asxl3, intron 5 of 12)	-intron (Asxl3, intron 5 of 12)	74168	Asxl3	Asxl3	NM_001167777			Asxl3			NA
kidney_15_5_REP2.mLb.clN_peak_1817	chr19	3718792	3719757	+	146	NA	Intergenic	Intergenic	10981	1810055G02Rik	1810055G02Rik	NM_001358256			1810055G02Rik			NA
kidney_15_5_REP2.mLb.clN_peak_2827	chr19	44135452	44136330	+	146	NA	promoter-TSS (Cwf19l1)	-promoter-TSS (Cwf19l1)	-435	Cwf19l1	Cwf19l1	NM_001356578			Cwf19l1			NA
kidney_15_5_REP2.mLb.clN_peak_1258	chr18	65739559	65740310	+	146	NA	intron (Oacyl, intron 9 of 14)	-intron (Oacyl, intron 9 of 14)	41666	Oacyl	Oacyl	NM_177028			Oacyl			NA
kidney_15_5_REP2.mLb.clN_peak_1305	chr18	67464602	67465338	+	146	NA	intron (Prelid3a, intron 1 of 6)	-intron (Prelid3a, intron 1 of 6)	121	Prelid3a	Prelid3a	NM_144867			Prelid3a			NA
kidney_15_5_REP2.mLb.clN_peak_322	chr18	21651377	21653927	+	146	NA	intron (Klhl14, intron 1 of 8)	-intron (Klhl14, intron 1 of 8)	1087	4930426D05Rik	4930426D05Rik	NM_001271580			4930426D05Rik			NA
kidney_15_5_REP2.mLb.clN_peak_3116	chr19	55253386	55254822	+	146	NA	exon (Acsl5, exon 1 of 22)	-exon (Acsl5, exon 1 of 22)	735	Acsl5	Acsl5	NM_027976			Acsl5			NA
kidney_15_5_REP2.mLb.clN_peak_959	chr18	53463750	53465153	+	146	NA	promoter-TSS (Prdm6)	-promoter-TSS (Prdm6)	-95	Prdm6	Prdm6	NM_001033281			Prdm6			NA
kidney_15_5_REP2.mLb.clN_peak_2909	chr19	45748957	45749689	+	146	NA	TTS (Oga)	-TTS (Oga)	242	Npm3	Npm3	NM_008723			Npm3			NA
kidney_15_5_REP2.mLb.clN_peak_3035	chr19	51774008	51774531	+	146	NA	Intergenic	Intergenic	-490028	Ins1	Ins1	NM_008386			Ins1			NA
kidney_15_5_REP2.mLb.clN_peak_848	chr18	46621241	46622061	+	146	NA	Intergenic	Intergenic	23947	Eif1a	Eif1a	NM_001374654			Eif1a			NA
kidney_15_5_REP2.mLb.clN_peak_607	chr18	35739835	35740681	+	145	NA	intron (Sting1, intron 1 of 7)	-intron (Sting1, intron 1 of 6)	296	Sting1	Sting1	NM_028261			Sting1			NA
kidney_15_5_REP2.mLb.clN_peak_1118	chr18	60978073	60978650	+	145	NA	intron (Camk2a, intron 15 of 17)	-intron (Camk2a, intron 3 of 5)	20288	Mir6982	Mir6982	NR_105948			Mir6982			NA
kidney_15_5_REP2.mLb.clN_peak_1590	chr18	78185771	78186214	+	145	NA	intron (Slc14a2, intron 8 of 21)	-intron (Slc14a2, intron 4 of 7)	-62566	Slc14a1	Slc14a1	NM_001171011			Slc14a1			NA
kidney_15_5_REP2.mLb.clN_peak_1495	chr18	75378486	75379085	+	145	NA	intron (Smad7, intron 3 of 3)	-intron (Smad7, intron 3 of 3)	11420	Smad7	Smad7	NM_001042660			Smad7			NA
kidney_15_5_REP2.mLb.clN_peak_1494	chr18	75375500	75375800	+	145	NA	intron (Smad7, intron 2 of 3)	-intron (Smad7, intron 2 of 3)	8285	Smad7	Smad7	NM_001042660			Smad7			NA
kidney_15_5_REP2.mLb.clN_peak_697	chr18	38184889	38185686	+	145	NA	Intergenic	Intergenic	24475	Pcdh1	Pcdh1	NM_029357			Pcdh1			NA
kidney_15_5_REP2.mLb.clN_peak_149	chr18	10413225	10413927	+	145	NA	intron (Greb1l, intron 1 of 32)	-intron (Greb1l, intron 1 of 32)	88397	Greb1l	Greb1l	NM_001083628			Greb1l			NA
kidney_15_5_REP2.mLb.clN_peak_1525	chr18	76011228	76011596	+	145	NA	intron (Zbtb7c, intron 2 of 4)	-intron (Zbtb7c, intron 2 of 4)	87059	2900057B20Rik	2900057B20Rik	NR_045365			2900057B20Rik			NA
kidney_15_5_REP2.mLb.clN_peak_1729	chr18	84015638	84016437	+	145	NA	exon (Tshz1, exon 2 of 2)	-exon (Tshz1, exon 2 of 2)	70428	Tshz1	Tshz1	NM_001364993			Tshz1			NA
kidney_15_5_REP2.mLb.clN_peak_2565	chr19	31764331	31765475	+	144	NA	exon (Prkg1, exon 1 of 18)	-exon (Prkg1, exon 1 of 18)	-100533	Prkg1	Prkg1	NM_011160			Prkg1			NA
kidney_15_5_REP2.mLb.clN_peak_403	chr18	24872116	24872472	+	144	NA	intron (Fhod3, intron 3 of 26)	-intron (Fhod3, intron 3 of 24)	163671	Fhod3	Fhod3	NM_175276			Fhod3			NA
kidney_15_5_REP2.mLb.clN_peak_2123	chr19	10266402	10267443	+	144	NA	intron (Dagla, intron 5 of 19)	-intron (Dagla, intron 5 of 19)	-26174	Myrf	Myrf	NM_001033481			Myrf			NA
kidney_15_5_REP2.mLb.clN_peak_2619	chr19	34468193	34468981	+	144	NA	Intergenic	Intergenic	6561	Ch25h	Ch25h	NM_009890			Ch25h			NA
kidney_15_5_REP2.mLb.clN_peak_1951	chr19	5846303	5847000	+	143	NA	Intergenic	Intergenic	-1173	Neat1	Neat1	NR_003513			Neat1			NA
kidney_15_5_REP2.mLb.clN_peak_1508	chr18	75511096	75511610	+	143	NA	intron (Ctif, intron 9 of 11)	-intron (Ctif, intron 9 of 11)	-3292	Gm10532	Gm10532	NR_045879			Gm10532			NA
kidney_15_5_REP2.mLb.clN_peak_112	chr18	7990006	7990945	+	143	NA	Intergenic	Intergenic	121278	Wac	Wac	NM_001360956			Wac			NA
kidney_15_5_REP2.mLb.clN_peak_247	chr18	15134589	15134927	+	143	NA	intron (Kctd1, intron 1 of 4)	-intron (Kctd1, intron 1 of 4)	16688	Kctd1	Kctd1	NM_134112			Kctd1			NA
kidney_15_5_REP2.mLb.clN_peak_2975	chr19	47327924	47329097	+	143	NA	intron (Sh3pxd2a, intron 6 of 14)	-intron (Sh3pxd2a, intron 6 of 13)	-54921	Mir6995	Mir6995	NR_105961			Mir6995			NA
kidney_15_5_REP2.mLb.clN_peak_1763	chr18	84885052	84885308	+	143	NA	Intergenic	Intergenic	33842	Cyb5a	Cyb5a	NM_001348159			Cyb5a			NA
kidney_15_5_REP2.mLb.clN_peak_1627	chr18	80271598	80271871	+	142	NA	intron (Slc66a2, intron 3 of 4)	-intron (Slc66a2, intron 3 of 4)	15428	Slc66a2	Slc66a2	NM_025861			Slc66a2			NA
kidney_15_5_REP2.mLb.clN_peak_2856	chr19	44669583	44670647	+	142	NA	Intergenic	Intergenic	-86791	Pax2	Pax2	NM_001368747			Pax2			NA
kidney_15_5_REP2.mLb.clN_peak_96	chr18	6989201	6989930	+	142	NA	intron (Mkx, intron 5 of 6)	-intron (Mkx, intron 5 of 6)	15214	Mkx	Mkx	NM_177595			Mkx			NA
kidney_15_5_REP2.mLb.clN_peak_1531	chr18	76087579	76088488	+	142	NA	intron (Zbtb7c, intron 1 of 2)	-intron (Zbtb7c, intron 1 of 2)	10438	2900057B20Rik	2900057B20Rik	NR_045365			2900057B20Rik			NA
kidney_15_5_REP2.mLb.clN_peak_387	chr18	24449489	24450478	+	142	NA	Intergenic	Intergenic	-20813	Mir187	Mir187	NR_029573			Mir187			NA
kidney_15_5_REP2.mLb.clN_peak_3185	chr19	57411443	57412256	+	142	NA	Intergenic	Intergenic	-41057	Trub1	Trub1	NM_028115			Trub1			NA
kidney_15_5_REP2.mLb.clN_peak_2040	chr19	7267174	7269091	+	142	NA	promoter-TSS (Rcor2)	-promoter-TSS (Rcor2)	738	Rcor2	Rcor2	NM_001320554			Rcor2			NA
kidney_15_5_REP2.mLb.clN_peak_2500	chr19	28929067	28929392	+	141	NA	intron (4430402I18Rik, intron 10 of 12)	-intron (4430402I18Rik, intron 11 of 13)	-34691	Plpp6	Plpp6	NM_028922			Plpp6			NA
kidney_15_5_REP2.mLb.clN_peak_2156	chr19	10818440	10819051	+	141	NA	intron (Cd6, intron 1 of 12)	-intron (Cd6, intron 1 of 11)	11313	Cd6	Cd6	NM_001037801			Cd6			NA
kidney_15_5_REP2.mLb.clN_peak_1998	chr19	6497313	6497691	+	141	NA	intron (Nrxn2, intron 17 of 22)	-intron (Nrxn2, intron 17 of 22)	45568	Slc22a12	Slc22a12	NM_009203			Slc22a12			NA
kidney_15_5_REP2.mLb.clN_peak_336	chr18	22045791	22046437	+	141	NA	intron (Ccdc178, intron 14 of 22)	-intron (Ccdc178, intron 14 of 22)	125282	Ccdc178	Ccdc178	NM_027616			Ccdc178			NA
