chr	start	end	interval_id	num_peaks	num_samples	kidney_14_5_REP1.mLb.clN.bool	kidney_14_5_REP2.mLb.clN.bool	kidney_15_5_REP1.mLb.clN.bool	kidney_15_5_REP2.mLb.clN.bool	liver_14_5_REP1.mLb.clN.bool	liver_14_5_REP2.mLb.clN.bool	liver_15_5_REP1.mLb.clN.bool	liver_15_5_REP2.mLb.clN.bool	kidney_14_5_REP1.mLb.clN.fc	kidney_14_5_REP2.mLb.clN.fc	kidney_15_5_REP1.mLb.clN.fc	kidney_15_5_REP2.mLb.clN.fc	liver_14_5_REP1.mLb.clN.fc	liver_14_5_REP2.mLb.clN.fc	liver_15_5_REP1.mLb.clN.fc	liver_15_5_REP2.mLb.clN.fc	kidney_14_5_REP1.mLb.clN.qval	kidney_14_5_REP2.mLb.clN.qval	kidney_15_5_REP1.mLb.clN.qval	kidney_15_5_REP2.mLb.clN.qval	liver_14_5_REP1.mLb.clN.qval	liver_14_5_REP2.mLb.clN.qval	liver_15_5_REP1.mLb.clN.qval	liver_15_5_REP2.mLb.clN.qval	kidney_14_5_REP1.mLb.clN.pval	kidney_14_5_REP2.mLb.clN.pval	kidney_15_5_REP1.mLb.clN.pval	kidney_15_5_REP2.mLb.clN.pval	liver_14_5_REP1.mLb.clN.pval	liver_14_5_REP2.mLb.clN.pval	liver_15_5_REP1.mLb.clN.pval	liver_15_5_REP2.mLb.clN.pval	kidney_14_5_REP1.mLb.clN.start	kidney_14_5_REP2.mLb.clN.start	kidney_15_5_REP1.mLb.clN.start	kidney_15_5_REP2.mLb.clN.start	liver_14_5_REP1.mLb.clN.start	liver_14_5_REP2.mLb.clN.start	liver_15_5_REP1.mLb.clN.start	liver_15_5_REP2.mLb.clN.start	kidney_14_5_REP1.mLb.clN.end	kidney_14_5_REP2.mLb.clN.end	kidney_15_5_REP1.mLb.clN.end	kidney_15_5_REP2.mLb.clN.end	liver_14_5_REP1.mLb.clN.end	liver_14_5_REP2.mLb.clN.end	liver_15_5_REP1.mLb.clN.end	liver_15_5_REP2.mLb.clN.end	kidney_14_5_REP1.mLb.clN.summit	kidney_14_5_REP2.mLb.clN.summit	kidney_15_5_REP1.mLb.clN.summit	kidney_15_5_REP2.mLb.clN.summit	liver_14_5_REP1.mLb.clN.summit	liver_14_5_REP2.mLb.clN.summit	liver_15_5_REP1.mLb.clN.summit	liver_15_5_REP2.mLb.clN.summit
chr18	34721394	34721836	Interval_1089	2	2	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	3.51053	NA	3.13594	NA	NA	NA	NA	NA	4.65782	NA	2.86854	NA	NA	NA	NA	NA	6.88098	NA	4.97666	NA	NA	NA	NA	NA	34721394	NA	34721412	NA	NA	NA	NA	NA	34721836	NA	34721698	NA	NA	NA	NA	NA	169	NA	82	NA	NA	NA	NA
chr18	34726794	34727059	Interval_1090	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	4.44437	NA	NA	NA	NA	NA	NA	NA	6.32572	NA	NA	NA	NA	NA	NA	NA	8.64134	NA	NA	NA	NA	NA	NA	NA	34726794	NA	NA	NA	NA	NA	NA	NA	34727059	NA	NA	NA	NA	NA	NA	NA	237	NA	NA	NA	NA	NA	NA
chr18	34751003	34752222	Interval_1091	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	9.8399	12.022	12.5389	14.9091	16.7477	17.7945	18.2205	16.4854	37.2897	71.8437	65.4031	110.7	127.34	484.413	297.104	165.797	41.0554	75.3562	68.9544	114.651	131.081	488.196	300.925	169.584	34751389	34751500	34751516	34751406	34751406	34751003	34751007	34751116	34752054	34752129	34752142	34752171	34752203	34752212	34752222	34752220	280	190	171	283	284	687	680	574
chr18	34758716	34759992	Interval_1092	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	7.39298	8.04596	9.0539	9.87575	12.3046	12.8411	14.511	12.599	30.7566	49.1394	58.6312	69.6445	78.557	286.126	204.816	115.359	34.3162	52.3504	62.0922	73.1142	81.9483	289.443	208.321	118.815	34758761	34758716	34758730	34758761	34758863	34758821	34758850	34758823	34759951	34759867	34759929	34759989	34759945	34759992	34759952	34759951	531	793	822	531	693	666	706	659
chr18	34776637	34777906	Interval_1093	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6.71231	7.7797	8.67453	7.28059	8.71781	10.5473	10.7001	10.0309	22.5438	47.3616	48.088	33.8407	50.1246	264.073	148.164	84.6771	25.8377	50.5468	51.3944	36.834	53.2437	267.331	151.434	87.9112	34776695	34776637	34776775	34776705	34776797	34776695	34776764	34776849	34777734	34777851	34777906	34777874	34777765	34777862	34777833	34777867	616	555	417	488	447	537	430	342
chr18	34779265	34779529	Interval_1094	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	2.69138	NA	NA	NA	NA	NA	NA	NA	21.4537	NA	NA	NA	NA	NA	NA	NA	23.8521	NA	NA	NA	NA	NA	NA	NA	34779265	NA	NA	NA	NA	NA	NA	NA	34779529	NA	NA	NA	NA	NA	NA	NA	127	NA	NA
chr18	34783312	34784068	Interval_1095	4	4	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	9.09206	10.0547	10.3904	10.5209	NA	NA	NA	NA	44.912	174.946	122.998	82.4169	NA	NA	NA	NA	47.9786	177.971	126.163	85.6349	NA	NA	NA	NA	34783476	34783312	34783477	34783477	NA	NA	NA	NA	34784037	34784060	34784068	34784044	NA	NA	NA	NA	121	341	176	176
chr18	34788364	34788796	Interval_1096	3	3	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	4.97699	4.82029	4.95382	NA	NA	NA	NA	NA	37.6711	24.098	17.1047	NA	NA	NA	NA	NA	40.1934	26.6868	19.7116	NA	NA	NA	NA	NA	34788364	34788368	34788368	NA	NA	NA	NA	NA	34788796	34788714	34788721	NA	NA	NA	NA	NA	103	92	115
chr18	34840182	34841632	Interval_1097	5	5	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	4.74943	6.21449	5.07377	7.57412	NA	3.00521	NA	NA	9.71705	22.3038	13.5876	29.0447	NA	3.02534	NA	NA	12.5492	25.0824	16.2371	31.9541	NA	5.08852	NA	NA	34840388	34840182	34840211	34840182	NA	34841265	NA	NA	34841178	34841421	34841082	34841205	NA	34841632	NA	NA	315	397	366	397	NA	276	NA	NA
chr18	34850021	34850383	Interval_1098	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	3.53605	NA	NA	NA	NA	NA	NA	NA	6.24049	NA	NA	NA	NA	NA	NA	NA	8.61189	NA	NA	NA	NA	NA	NA	NA	34850021	NA	NA	NA	NA	NA	NA	NA	34850383	NA	NA	NA	NA	NA	NA	NA	238	NA	NA	NA	NA	NA
chr18	34854599	34855736	Interval_1099	4	4	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	2.56487	3.58978	3.15103	2.57366	NA	NA	NA	NA	2.64414	21.9987	8.39312	3.90726	NA	NA	NA	NA	4.97119	24.402	10.7432	6.19313	NA	NA	NA	NA	34855264	34854599	34854628	34854666	NA	NA	NA	NA	34855678	34855736	34855686	34855607	NA	NA	NA	NA	388	707	679	889
chr18	34859723	34861543	Interval_1100	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6.44791	8.24381	7.23	7.4043	12.6367	10.6785	10.6733	9.99907	47.9583	115.584	78.5619	89.9899	127.212	366.257	230.169	132.305	52.0329	119.649	82.2908	93.703	130.952	369.773	233.762	135.881	34859836	34859813	34859785	34859723	34859903	34859883	34859888	34859893	34861365	34861536	34861385	34861543	34861239	34861363	34861346	34861228	1037	1060	1186	1135	972	1100	984	966
chr18	34880030	34880711	Interval_1101	3	3	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	NA	NA	NA	NA	4.25594	7.31987	4.36148	NA	NA	NA	NA	NA	3.41736	20.9308	5.04233	NA	NA	NA	NA	NA	5.78751	23.3246	7.29607	NA	NA	NA	NA	NA	34880186	34880030	34880088	NA	NA	NA	NA	NA	34880606	34880711	34880617	NA	NA	NA	NA	NA	98	521	192	NA
chr18	34886853	34888378	Interval_1102	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	5.50067	7.62101	6.52285	7.54607	6.79181	6.96683	8.95157	6.83438	18.2168	45.5993	30.2678	43.7478	16.0367	43.8687	43.5717	20.3342	21.3668	48.7587	33.2783	46.8899	18.7547	46.4277	46.3271	22.9862	34886853	34887054	34886975	34886920	34887180	34887153	34887153	34887184	34887777	34887933	34887943	34887888	34887627	34888378	34888035	34888122	671	415	483	478	289	372	342	304
chr18	34897480	34897716	Interval_1103	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	2.69354	NA	NA	NA	NA	NA	NA	NA	1.61066	NA	NA	NA	NA	NA	NA	NA	3.58882	NA	NA	NA	NA	NA	NA	NA	34897480	NA	NA	NA	NA	NA	NA	NA	34897716	NA	NA	NA	NA	NA	NA	NA	71	NA	NA	NA	NA	NA
chr18	34900595	34900907	Interval_1104	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	4.45381	NA	NA	NA	NA	NA	NA	NA	6.63555	NA	NA	NA	NA	NA	NA	NA	8.96601	NA	NA	NA	NA	NA	NA	NA	34900595	NA	NA	NA	NA	NA	NA	NA	34900907	NA	NA	NA	NA	NA	NA	NA	227	NA	NA	NA	NA	NA	NA
chr18	34900993	34901435	Interval_1105	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	2.78027	NA	NA	NA	NA	NA	NA	NA	2.06902	NA	NA	NA	NA	NA	NA	NA	4.07771	NA	NA	NA	NA	NA	NA	NA	34900993	NA	NA	NA	NA	NA	NA	NA	34901435	NA	NA	NA	NA	NA	NA	NA	196	NA	NA	NA	NA
chr18	34915803	34916406	Interval_1106	3	3	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	5.6846	4.00779	5.4137	NA	NA	NA	NA	NA	18.0565	5.73035	8.80591	NA	NA	NA	NA	NA	20.423	8.00852	11.254	NA	NA	NA	NA	NA	34915803	34915900	34915870	NA	NA	NA	NA	NA	34916406	34916272	34916272	NA	NA	NA	NA	NA	316	104	251
chr18	34931432	34932591	Interval_1107	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	10.0054	14.4681	13.8148	15.6234	17.5949	16.5829	16.6917	16.1518	63.0449	196.633	150.111	195.264	207.854	767.122	472.422	249.929	67.6557	201.935	154.8	200.24	212.16	771.554	476.854	254.239	34931567	34931432	34931460	34931602	34931606	34931475	34931447	34931432	34932528	34932591	34932568	34932522	34932462	34932570	34932586	34932479	451	708	680	538	473	544	625	587
chr18	34953968	34955237	Interval_1108	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	9.15191	10.6977	10.5186	11.5289	15.0457	14.8915	15.4924	12.635	50.3687	94.8206	79.9884	96.8825	133.799	444.124	253.687	112.073	54.5126	98.6296	83.7364	100.68	137.59	447.821	257.353	115.508	34954131	34954082	34954003	34954108	34953968	34953974	34953991	34953993	34955143	34955237	34955152	34955100	34954973	34955143	34955099	34955089	605	651	648	543	629	623	606	658
chr18	34988837	34989128	Interval_1109	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	4.36992	NA	NA	NA	NA	NA	NA	NA	5.05428	NA	NA	NA	NA	NA	NA	NA	7.31116	NA	NA	NA	NA	NA	NA	NA	34988837	NA	NA	NA	NA	NA	NA	NA	34989128	NA	NA	NA	NA	NA	NA	NA	190	NA
chr18	34989247	34989499	Interval_1110	1	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3.71404	NA	NA	NA	NA	NA	NA	NA	2.77702	NA	NA	NA	NA	NA	NA	NA	5.15777	NA	NA	NA	NA	NA	NA	NA	34989247	NA	NA	NA	NA	NA	NA	NA	34989499	NA	NA	NA	NA	NA	NA	NA	243	NA	NA	NA	NA	NA	NA	NA
chr18	35021631	35022703	Interval_1111	7	7	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	3.46867	4.36208	3.53794	5.21802	NA	4.40496	4.3964	3.38092	3.83642	8.77845	4.43935	13.0041	NA	7.26562	5.38296	2.0492	6.32064	11.1988	6.70774	15.5767	NA	9.47156	7.65045	4.21841	35021961	35021947	35021637	35021883	NA	35022000	35021631	35022078	35022703	35022611	35022690	35022649	NA	35022542	35022629	35022455	337	527	947	514	NA	160	448	156
chr18	35027131	35027514	Interval_1112	2	2	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	3.78274	NA	NA	2.84866	NA	NA	NA	NA	4.46029	NA	NA	2.49585	NA	NA	NA	NA	6.99398	NA	NA	4.56181	NA	NA	NA	NA	35027131	NA	NA	35027158	NA	NA	NA	NA	35027514	NA	NA	35027378	NA	NA	NA	NA	298	NA	NA	180	NA	NA	NA	NA
chr18	35045311	35046276	Interval_1113	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	5.00588	4.64447	4.60132	NA	NA	NA	NA	NA	11.4068	10.3774	10.6235	NA	NA	NA	NA	NA	13.9165	12.9233	13.1253	NA	NA	NA	NA	NA	35045410	35045359	35045311	NA	NA	NA	NA	NA	35046188	35045988	35046276	NA	NA	NA	NA	NA	351	460	484	NA	NA	NA	NA
chr18	35056756	35057420	Interval_1114	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	3.71827	6.63227	4.68512	5.25555	NA	NA	NA	NA	4.33425	19.2598	8.58959	11.321	NA	NA	NA	NA	6.85777	21.9734	11.0678	13.8448	NA	NA	NA	NA	35056802	35056796	35056779	35056756	NA	NA	NA	NA	35057321	35057293	35057420	35057214	NA	NA	NA	NA	102	207	358	283	NA	NA	NA	NA
chr18	35068739	35069648	Interval_1115	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	4.76092	7.49992	3.9035	5.52013	NA	NA	NA	NA	7.52936	26.3692	6.4661	14.193	NA	NA	NA	NA	10.2554	29.2264	8.84953	16.799	NA	NA	NA	NA	35069054	35068829	35068739	35068739	NA	NA	NA	NA	35069506	35069507	35069648	35069508	NA	NA	NA	NA	216	393	452	329	NA	NA	NA	NA
chr18	35079963	35080208	Interval_1116	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	3.55231	NA	NA	NA	NA	NA	NA	NA	3.42939	NA	NA	NA	NA	NA	NA	NA	5.56531	NA	NA	NA	NA	NA	NA	NA	35079963	NA	NA	NA	NA	NA	NA	NA	35080208	NA	NA	NA	NA	NA	NA	NA	167	NA	NA	NA	NA	NA	NA
chr18	35094117	35094434	Interval_1117	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	3.40383	NA	NA	NA	NA	NA	NA	NA	3.85128	NA	NA	NA	NA	NA	NA	NA	5.95396	NA	NA	NA	NA	NA	NA	NA	35094117	NA	NA	NA	NA	NA	NA	NA	35094434	NA	NA	NA	NA	NA	NA	NA	202	NA	NA
chr18	35118155	35119624	Interval_1118	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	8.21152	9.88654	8.80302	10.2848	10.9858	12.7648	13.522	12.4211	29.389	54.7715	45.861	61.7986	43.7219	161.205	120.636	78.532	32.9062	58.0595	49.136	65.1742	46.7768	164.195	123.791	81.7222	35118459	35118155	35118416	35118346	35118465	35118428	35118464	35118469	35119502	35119433	35119624	35119427	35119381	35119610	35119524	35119517	326	794	412	554	446	471	453	480
chr18	35134296	35135156	Interval_1119	6	6	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	3.87592	NA	7.19568	16.8927	16.6459	19.9381	16.7582	NA	3.97505	NA	16.0734	87.4223	249.332	185.994	106.576	NA	6.15513	NA	18.725	90.891	252.547	189.423	109.973	NA	35134633	NA	35134598	35134467	35134296	35134312	35134401	NA	35134882	NA	35134872	35135041	35135156	35135064	35135083	NA	184	NA	112	243	469	453	309
chr18	35152235	35152714	Interval_1120	2	2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	5.96751	4.62558	NA	NA	NA	NA	NA	NA	18.5356	7.31725	NA	NA	NA	NA	NA	NA	20.9067	9.64122	NA	NA	NA	NA	NA	NA	35152281	35152235	NA	NA	NA	NA	NA	NA	35152714	35152694	NA	NA	NA	NA	NA	NA	267	325	NA
chr18	35154650	35155269	Interval_1121	3	3	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	5.4697	3.37171	5.21567	NA	NA	NA	NA	NA	15.8471	3.06091	6.72441	NA	NA	NA	NA	NA	18.1885	5.22814	9.11499	NA	NA	NA	NA	NA	35154652	35154746	35154650	NA	NA	NA	NA	NA	35155269	35155029	35155215	NA	NA	NA	NA	NA	182	29	181
chr18	35162062	35162363	Interval_1122	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	3.30743	NA	NA	NA	NA	NA	NA	NA	2.79493	NA	NA	NA	NA	NA	NA	NA	4.89656	NA	NA	NA	NA	NA	NA	NA	35162062	NA	NA	NA	NA	NA	NA	NA	35162363	NA	NA	NA	NA	NA	NA	NA	261	NA	NA	NA	NA
chr18	35212803	35213301	Interval_1123	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	4.21954	4.13276	3.76399	4.39541	NA	NA	NA	NA	3.99426	5.18197	3.73474	6.21103	NA	NA	NA	NA	6.49169	7.43654	5.95309	8.5417	NA	NA	NA	NA	35212861	35212898	35212886	35212803	NA	NA	NA	NA	35213301	35213297	35213293	35213301	NA	NA	NA	NA	398	228	118	410	NA	NA	NA	NA
chr18	35214759	35215158	Interval_1124	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	3.73934	NA	NA	NA	NA	NA	NA	NA	4.18556	NA	NA	NA	NA	NA	NA	NA	6.40135	NA	NA	NA	NA	NA	NA	NA	35214759	NA	NA	NA	NA	NA	NA	NA	35215158	NA	NA	NA	NA	NA	NA	NA	290	NA	NA	NA	NA
chr18	35285068	35285348	Interval_1125	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	3.21976	NA	NA	NA	NA	NA	NA	NA	2.65501	NA	NA	NA	NA	NA	NA	NA	4.73647	NA	NA	NA	NA	NA	NA	NA	35285068	NA	NA	NA	NA	NA	NA	NA	35285348	NA	NA	NA	NA	NA	NA	NA	234	NA	NA	NA	NA
chr18	35285599	35285832	Interval_1126	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	3.51516	NA	NA	NA	NA	NA	NA	NA	3.34939	NA	NA	NA	NA	NA	NA	NA	5.49646	NA	NA	NA	NA	NA	NA	NA	35285599	NA	NA	NA	NA	NA	NA	NA	35285832	NA	NA	NA	NA	NA	NA	NA	80	NA	NA	NA	NA
chr18	35285874	35286114	Interval_1127	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	3.04536	NA	NA	NA	NA	NA	NA	NA	2.04498	NA	NA	NA	NA	NA	NA	NA	4.04453	NA	NA	NA	NA	NA	NA	NA	35285874	NA	NA	NA	NA	NA	NA	NA	35286114	NA	NA	NA	NA	NA	NA	NA	49	NA	NA	NA	NA	NA	NA
chr18	35296227	35296843	Interval_1128	3	3	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	3.36816	5.3355	NA	NA	NA	NA	4.33308	NA	3.11688	8.96997	NA	NA	NA	NA	3.86778	NA	5.22147	11.4627	NA	NA	NA	NA	6.15205	NA	35296227	35296403	NA	NA	NA	NA	35296380	NA	35296540	35296695	NA	NA	NA	NA	35296843	NA	43	128	NA	NA	NA	NA	290
chr18	35341795	35342052	Interval_1129	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	5.81388	NA	NA	NA	NA	NA	NA	NA	9.58223	NA	NA	NA	NA	NA	NA	NA	12.0316	NA	NA	NA	NA	NA	NA	NA	35341795	NA	NA	NA	NA	NA	NA	NA	35342052	NA	NA	NA	NA	NA	NA	NA	180	NA	NA	NA	NA	NA	NA
chr18	35368873	35369241	Interval_1130	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	4.81746	NA	NA	NA	NA	NA	NA	NA	6.72358	NA	NA	NA	NA	NA	NA	NA	9.05854	NA	NA	NA	NA	NA	NA	NA	35368873	NA	NA	NA	NA	NA	NA	NA	35369241	NA	NA	NA	NA	NA	NA	NA	199	NA	NA	NA	NA	NA	NA
chr18	35402069	35402716	Interval_1131	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	4.62197	3.97975	3.56185	NA	NA	NA	NA	NA	7.58077	4.58944	3.42435	NA	NA	NA	NA	NA	9.953	6.86753	5.58296	NA	NA	NA	NA	NA	35402314	35402069	35402263	NA	NA	NA	NA	NA	35402716	35402709	35402672	NA	NA	NA	NA	NA	91	308	278	NA	NA	NA	NA
chr18	35467013	35467353	Interval_1132	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	3.54525	NA	NA	NA	NA	NA	NA	NA	2.27977	NA	NA	NA	NA	NA	NA	NA	4.47249	NA	NA	NA	NA	NA	NA	NA	35467013	NA	NA	NA	NA	NA	NA	NA	35467353	NA	NA	NA	NA	NA	NA	NA	24
chr18	35488545	35489352	Interval_1133	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	4.25333	5.21964	4.1731	NA	NA	NA	NA	NA	5.67681	8.74058	5.77421	NA	NA	NA	NA	NA	7.95943	11.2245	8.08286	NA	NA	NA	NA	NA	35488771	35488545	35488636	NA	NA	NA	NA	NA	35489352	35489136	35489083	NA	NA	NA	NA	NA	233	513	366	NA	NA	NA	NA
chr18	35498222	35499254	Interval_1134	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	7.39163	9.16335	8.73399	8.14219	12.9942	14.6958	14.5796	9.36706	21.2359	41.1283	31.3994	31.3303	43.404	132.913	75.4805	29.9639	24.4835	44.2243	34.4319	34.2815	46.4561	135.821	78.4202	32.7332	35498417	35498231	35498351	35498368	35498501	35498394	35498435	35498222	35499116	35499188	35499254	35499151	35499006	35499111	35499073	35499011	342	621	531	369	321	503	448	591
chr18	35529656	35530629	Interval_1135	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	2.72149	3.50403	3.75795	3.54377	NA	NA	NA	NA	1.57621	4.20254	4.42404	4.26307	NA	NA	NA	NA	3.79895	6.39771	6.689	6.48392	NA	NA	NA	NA	35529981	35529751	35529656	35529777	NA	NA	NA	NA	35530184	35530314	35530629	35530032	NA	NA	NA	NA	185	298	139	42	NA	NA	NA	NA
chr18	35532058	35532689	Interval_1136	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	5.19351	NA	NA	NA	NA	NA	NA	NA	6.68703	NA	NA	NA	NA	NA	NA	NA	9.07646	NA	NA	NA	NA	NA	NA	NA	35532058	NA	NA	NA	NA	NA	NA	NA	35532689	NA	NA	NA	NA	NA	NA	NA	164
chr18	35540154	35540413	Interval_1137	1	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4.84728	NA	NA	NA	NA	NA	NA	NA	6.45025	NA	NA	NA	NA	NA	NA	NA	9.11511	NA	NA	NA	NA	NA	NA	NA	35540154	NA	NA	NA	NA	NA	NA	NA	35540413	NA	NA	NA	NA	NA	NA	NA	141	NA	NA	NA	NA	NA	NA	NA
chr18	35552914	35554572	Interval_1138	9	7	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	5.73207	6.31096	NA	5.75267;2.67763	8.51559	7.1283	8.63755;2.91484	7.15015	14.3597	23.4803	NA	19.1219;2.87357	28.1978	61.4425	47.3521;4.65663	26.8557	17.3828	26.2819	NA	21.8454;4.98198	31.0864	64.0922	50.134;6.89676	29.5889	35553257	35552937	NA	35552922;35554224	35553096	35552914	35553096;35554167	35553083	35553454	35553451	NA	35553446;35554502	35553462	35554572	35553661;35554442	35554543	126	442	NA	455;26	262	463	268;90	282
chr18	35561677	35563179	Interval_1139	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	8.92041	9.58624	9.80691	10.4809	10.7186	11.7063	12.7345	10.2856	45.5912	80.503	67.9869	79.3331	90.1718	425.674	249.153	116.914	49.5974	84.1275	71.5724	82.9155	93.66	429.331	252.808	120.382	35561796	35561797	35561782	35561774	35561774	35561677	35561766	35561779	35562970	35562997	35563179	35562950	35562940	35563009	35563029	35562998	428	427	446	452	452	549	681	473
chr18	35598147	35599550	Interval_1140	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	5.40262	5.82958	6.38496	6.33119	7.25501	10.0894	9.04191	8.89402	14.2076	22.5713	21.5042	24.8243	21.7986	127.652	56.3456	41.5413	17.2258	25.3558	24.3478	27.6611	24.6058	130.544	59.185	44.4291	35598342	35598182	35598503	35598147	35598245	35598192	35598275	35598350	35599283	35599550	35599466	35599291	35599297	35599441	35599297	35599307	278	680	572	554	405	456	480	301
chr18	35619093	35620181	Interval_1141	4	4	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	15.7584	16.1287	16.0803	15.681	NA	NA	NA	NA	121.591	400.925	203.012	138.667	NA	NA	NA	NA	125.296	404.521	206.511	142.291	NA	NA	NA	NA	35619395	35619093	35619144	35619180	NA	NA	NA	NA	35620028	35620181	35620140	35620040	NA	NA	NA	NA	322	623	574	584
chr18	35626372	35628013	Interval_1142	5	5	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	2.54018	4.84921	3.65269	4.52557	2.89593	NA	NA	NA	2.15016	7.58388	9.20343	10.8214	2.13336	NA	NA	NA	4.16804	10.1111	11.4488	13.2232	4.30866	NA	NA	NA	35627280	35627242	35626876	35627213	35626372	NA	NA	NA	35627532	35627605	35627605	35628013	35627371	NA	NA	NA	13	165	440	292	944
chr18	35642299	35642768	Interval_1143	2	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	3.67635	4.73485	NA	NA	NA	NA	NA	NA	4.03809	7.17149	NA	NA	NA	NA	NA	NA	6.27728	9.54664	NA	NA	NA	NA	NA	NA	35642382	35642299	NA	NA	NA	NA	NA	NA	35642768	35642707	NA	NA	NA	NA	NA	NA	25	107	NA	NA	NA	NA
