# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "6" "-a" "consensus_peaks.mLb.clN.saf" "-s" "0" "-o" "consensus_peaks.mLb.clN.featureCounts.txt" "liver_14_5_REP1.mLb.clN.sorted.bam" "liver_15_5_REP2.mLb.clN.sorted.bam" "kidney_14_5_REP1.mLb.clN.sorted.bam" "liver_15_5_REP1.mLb.clN.sorted.bam" "kidney_15_5_REP1.mLb.clN.sorted.bam" "kidney_14_5_REP2.mLb.clN.sorted.bam" "kidney_15_5_REP2.mLb.clN.sorted.bam" "liver_14_5_REP2.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	liver_14_5_REP1.mLb.clN.sorted.bam	liver_15_5_REP2.mLb.clN.sorted.bam	kidney_14_5_REP1.mLb.clN.sorted.bam	liver_15_5_REP1.mLb.clN.sorted.bam	kidney_15_5_REP1.mLb.clN.sorted.bam	kidney_14_5_REP2.mLb.clN.sorted.bam	kidney_15_5_REP2.mLb.clN.sorted.bam	liver_14_5_REP2.mLb.clN.sorted.bam
Interval_850	chr18	25549988	25550523	+	536	8	7	47	6	93	91	93	12
Interval_851	chr18	25554813	25555059	+	247	3	8	19	9	39	42	31	19
Interval_852	chr18	25558216	25558587	+	372	3	7	38	10	59	53	52	12
Interval_853	chr18	25559032	25559412	+	381	16	16	16	27	40	43	40	43
Interval_854	chr18	25567792	25568350	+	559	8	2	33	7	38	40	40	12
Interval_855	chr18	25576802	25577253	+	452	7	4	23	5	25	37	34	5
Interval_856	chr18	25581628	25581944	+	317	3	3	18	5	41	37	36	5
Interval_857	chr18	25590267	25590887	+	621	9	7	36	8	48	46	56	9
Interval_858	chr18	25599604	25599855	+	252	4	2	20	5	9	11	16	5
Interval_859	chr18	25606737	25607060	+	324	0	0	12	5	29	20	22	8
Interval_860	chr18	25617568	25617810	+	243	2	1	9	4	17	8	10	4
Interval_861	chr18	25621263	25621988	+	726	10	7	34	3	36	50	34	13
Interval_862	chr18	25630182	25630856	+	675	6	3	34	9	84	113	131	8
Interval_863	chr18	25645317	25646593	+	1277	20	18	88	22	113	156	133	28
Interval_864	chr18	25652880	25653755	+	876	6	6	42	10	107	97	93	7
Interval_865	chr18	25667727	25668573	+	847	18	5	64	20	83	94	92	23
Interval_866	chr18	25678847	25680130	+	1284	12	7	53	18	70	89	67	23
Interval_867	chr18	25685044	25685360	+	317	1	2	15	2	30	26	19	8
Interval_868	chr18	25694014	25694554	+	541	4	5	23	7	26	49	33	9
Interval_869	chr18	25714668	25715876	+	1209	5	5	36	8	54	68	52	18
Interval_870	chr18	25752885	25753834	+	950	10	14	59	14	82	106	90	22
Interval_871	chr18	25754135	25755723	+	1589	17	17	116	25	163	214	187	29
Interval_872	chr18	25829181	25830008	+	828	5	4	37	9	71	90	78	4
Interval_873	chr18	25898598	25898858	+	261	1	1	6	0	12	5	7	3
Interval_874	chr18	25903462	25904156	+	695	6	3	21	6	34	37	47	7
Interval_875	chr18	25904653	25905258	+	606	3	7	16	10	40	30	52	9
Interval_876	chr18	25942691	25943577	+	887	1	4	13	2	48	48	57	6
Interval_877	chr18	26008181	26008425	+	245	1	2	11	2	14	17	13	3
Interval_878	chr18	26014991	26015545	+	555	3	6	25	6	34	43	29	19
Interval_879	chr18	26018435	26018815	+	381	3	3	10	1	21	14	24	3
Interval_880	chr18	26036177	26037220	+	1044	4	2	39	11	61	68	69	14
Interval_881	chr18	26061686	26062401	+	716	9	7	18	6	34	41	40	6
Interval_882	chr18	26368461	26369000	+	540	5	2	14	3	34	28	30	3
Interval_883	chr18	26496003	26496807	+	805	7	7	16	15	28	20	29	15
Interval_884	chr18	26711172	26712054	+	883	8	2	25	8	51	52	53	9
Interval_885	chr18	26819610	26820220	+	611	1	2	16	9	40	47	42	2
Interval_886	chr18	26822465	26822745	+	281	0	0	6	4	19	19	30	4
Interval_887	chr18	27666103	27666453	+	351	2	6	6	5	8	18	15	3
Interval_888	chr18	28039044	28039290	+	247	4	0	5	8	16	1	11	1
Interval_889	chr18	28061162	28061395	+	234	2	3	10	5	5	3	17	6
Interval_890	chr18	28077503	28078397	+	895	10	7	56	7	92	117	98	26
Interval_891	chr18	28417443	28417940	+	498	3	2	20	6	55	68	52	4
Interval_892	chr18	28544365	28544757	+	393	2	3	10	4	12	6	20	5
Interval_893	chr18	28663328	28663633	+	306	0	1	10	0	39	28	46	7
Interval_894	chr18	28665157	28665451	+	295	1	2	21	2	26	28	26	5
Interval_895	chr18	28666668	28666895	+	228	1	1	4	1	13	20	21	4
Interval_896	chr18	28724958	28725442	+	485	5	3	17	3	19	29	19	6
Interval_897	chr18	28734687	28735054	+	368	2	5	5	3	19	18	12	5
Interval_898	chr18	28794086	28794565	+	480	2	1	4	4	11	24	6	3
Interval_899	chr18	28795975	28796199	+	225	1	0	8	1	7	22	18	8
Interval_900	chr18	28978062	28978416	+	355	3	1	16	3	9	19	15	7
Interval_901	chr18	29055518	29056078	+	561	2	6	6	2	8	25	16	6
Interval_902	chr18	29134261	29135464	+	1204	5	5	25	8	38	52	36	10
Interval_903	chr18	29298394	29299058	+	665	6	3	20	1	27	29	29	9
Interval_904	chr18	29638592	29639225	+	634	5	4	20	11	46	50	55	12
Interval_905	chr18	29726327	29726632	+	306	1	1	2	3	13	7	9	5
Interval_906	chr18	30045811	30046546	+	736	9	10	44	11	60	82	83	20
Interval_907	chr18	30165555	30166478	+	924	2	6	15	7	35	35	37	11
Interval_908	chr18	30199052	30199375	+	324	3	1	11	4	15	21	17	7
Interval_909	chr18	30267045	30268572	+	1528	79	105	78	139	122	129	132	274
Interval_910	chr18	30272350	30273350	+	1001	80	90	82	114	162	198	182	261
Interval_911	chr18	30286463	30286886	+	424	15	16	3	16	9	9	14	36
Interval_912	chr18	30308725	30309125	+	401	6	6	15	3	30	29	22	10
Interval_913	chr18	30318385	30318661	+	277	4	5	13	7	18	4	10	11
Interval_914	chr18	30365352	30366133	+	782	13	9	40	10	81	103	69	16
Interval_915	chr18	30377875	30378847	+	973	5	3	57	12	126	167	132	10
Interval_916	chr18	30403685	30403974	+	290	1	1	12	0	28	18	18	0
Interval_917	chr18	30444102	30444337	+	236	1	5	11	2	13	6	14	8
Interval_918	chr18	30444442	30445074	+	633	7	12	5	15	24	8	18	36
Interval_919	chr18	30472370	30474297	+	1928	9	6	95	5	142	183	161	12
Interval_920	chr18	30487192	30488034	+	843	2	3	30	5	46	42	37	5
Interval_921	chr18	30504174	30504957	+	784	6	2	38	6	52	63	56	11
Interval_922	chr18	30529565	30530884	+	1320	14	23	46	30	91	128	99	46
Interval_923	chr18	30584837	30585093	+	257	1	1	4	3	31	17	21	2
Interval_924	chr18	30632724	30632979	+	256	0	1	16	2	21	26	27	5
Interval_925	chr18	30736899	30737140	+	242	0	1	12	5	13	21	12	4
Interval_926	chr18	30762553	30762809	+	257	3	0	11	2	22	22	16	3
Interval_927	chr18	30766649	30766904	+	256	2	3	8	1	17	21	24	6
Interval_928	chr18	30769908	30770287	+	380	0	0	8	0	33	25	30	6
Interval_929	chr18	30776216	30776520	+	305	2	0	13	2	16	33	20	0
Interval_930	chr18	30854818	30855332	+	515	3	3	11	2	20	29	29	2
Interval_931	chr18	30948862	30949369	+	508	1	2	15	2	35	48	40	2
Interval_932	chr18	30958781	30959168	+	388	5	3	11	6	36	42	44	4
Interval_933	chr18	30964199	30964434	+	236	1	1	5	0	4	15	4	3
Interval_934	chr18	31076793	31077633	+	841	1	6	16	7	49	50	40	9
Interval_935	chr18	31085819	31086616	+	798	2	4	24	6	42	66	55	8
Interval_936	chr18	31188789	31189131	+	343	3	3	6	1	21	23	29	10
Interval_937	chr18	31207030	31207611	+	582	3	4	11	2	29	31	39	4
Interval_938	chr18	31217551	31218368	+	818	4	8	41	1	99	107	93	6
Interval_939	chr18	31238032	31238280	+	249	2	0	7	2	12	8	10	2
Interval_940	chr18	31304385	31304786	+	402	5	2	10	2	14	11	29	8
Interval_941	chr18	31316788	31317282	+	495	4	1	13	3	13	23	24	4
Interval_942	chr18	31330832	31331091	+	260	2	3	6	4	17	7	15	6
Interval_943	chr18	31441645	31441967	+	323	1	3	8	3	11	27	14	7
Interval_944	chr18	31447089	31447502	+	414	5	5	18	3	17	38	28	5
Interval_945	chr18	31536057	31536322	+	266	7	3	6	5	13	6	9	13
Interval_946	chr18	31609287	31610331	+	1045	169	225	156	336	277	326	279	636
Interval_947	chr18	31621891	31622458	+	568	23	24	10	30	10	10	10	33
Interval_948	chr18	31633867	31635337	+	1471	1151	1317	715	2187	1298	1500	1375	3690
Interval_949	chr18	31683008	31683452	+	445	8	15	4	23	13	7	5	27
Interval_950	chr18	31705044	31705366	+	323	7	16	7	20	6	5	9	18
Interval_951	chr18	31726731	31726918	+	188	3	1	7	6	9	0	4	6
Interval_952	chr18	31759133	31761003	+	1871	382	500	407	688	634	825	723	1149
Interval_953	chr18	31779017	31779444	+	428	4	3	4	10	7	6	7	28
Interval_954	chr18	31788583	31789867	+	1285	208	253	170	318	243	348	309	646
Interval_955	chr18	31803405	31804660	+	1256	214	229	191	281	265	359	323	572
Interval_956	chr18	31850729	31851209	+	481	10	15	7	20	5	14	11	14
Interval_957	chr18	31879612	31880058	+	447	2	9	21	5	28	39	28	10
Interval_958	chr18	31888559	31889044	+	486	10	6	20	13	18	24	29	24
Interval_959	chr18	31910417	31911690	+	1274	433	509	306	723	385	501	489	1300
Interval_960	chr18	31924359	31924943	+	585	6	5	6	15	38	23	38	9
Interval_961	chr18	31931018	31931949	+	932	15	23	52	28	56	90	71	36
Interval_962	chr18	31939026	31939487	+	462	8	11	37	19	25	46	64	12
Interval_963	chr18	31959153	31959654	+	502	6	5	47	15	43	63	66	8
Interval_964	chr18	31980662	31980846	+	185	4	1	12	4	5	5	6	5
Interval_965	chr18	32017111	32017491	+	381	2	1	22	5	28	45	38	11
Interval_966	chr18	32036540	32037345	+	806	5	10	43	12	89	90	89	10
Interval_967	chr18	32060006	32060256	+	251	3	4	10	1	11	17	7	6
Interval_968	chr18	32067192	32068518	+	1327	285	342	219	583	325	398	300	1108
Interval_969	chr18	32120138	32120456	+	319	4	3	9	5	12	19	9	7
Interval_970	chr18	32137504	32138487	+	984	30	38	29	61	33	39	52	73
Interval_971	chr18	32138642	32139917	+	1276	28	51	44	65	69	62	81	67
Interval_972	chr18	32147212	32148243	+	1032	50	73	95	99	124	148	151	106
Interval_973	chr18	32153187	32153797	+	611	5	5	30	7	46	46	55	14
Interval_974	chr18	32162384	32163767	+	1384	345	403	277	678	449	513	432	1136
Interval_975	chr18	32174735	32175150	+	416	4	4	8	12	15	22	31	16
Interval_976	chr18	32223220	32223483	+	264	2	3	9	3	2	5	2	5
Interval_977	chr18	32239616	32240970	+	1355	99	110	86	157	126	165	127	257
Interval_978	chr18	32284962	32285537	+	576	11	10	22	9	13	43	29	26
Interval_979	chr18	32293115	32293464	+	350	3	4	17	13	9	12	21	5
Interval_980	chr18	32311972	32312347	+	376	4	3	8	9	17	10	12	5
Interval_981	chr18	32366592	32366859	+	268	1	2	7	6	8	12	22	8
Interval_982	chr18	32376619	32378605	+	1987	67	129	263	196	360	462	389	211
Interval_983	chr18	32398553	32399331	+	779	39	43	29	57	41	46	39	139
Interval_984	chr18	32406926	32407926	+	1001	9	28	17	52	21	27	41	52
Interval_985	chr18	32410676	32410939	+	264	2	6	21	9	18	35	33	11
Interval_986	chr18	32414166	32414829	+	664	10	7	41	10	58	67	52	24
Interval_987	chr18	32431823	32432762	+	940	18	26	37	48	36	40	47	66
Interval_988	chr18	32441279	32441463	+	185	4	6	21	15	14	11	17	15
Interval_989	chr18	32484902	32485420	+	519	11	6	24	19	30	30	33	27
Interval_990	chr18	32497141	32498132	+	992	4	2	31	7	33	45	47	8
Interval_991	chr18	32510984	32511232	+	249	4	1	13	4	2	5	2	10
Interval_992	chr18	32523533	32525161	+	1629	71	58	56	85	59	81	68	160
Interval_993	chr18	32542132	32543290	+	1159	962	1042	33	1896	66	37	113	2935
Interval_994	chr18	32552020	32553610	+	1591	588	692	111	1034	220	253	270	1556
Interval_995	chr18	32556673	32557238	+	566	244	313	9	448	29	21	25	809
Interval_996	chr18	32559311	32560543	+	1233	177	227	95	438	106	127	130	831
Interval_997	chr18	32676978	32677539	+	562	4	2	10	6	14	30	20	5
Interval_998	chr18	32722641	32723370	+	730	3	1	23	4	37	66	34	6
Interval_999	chr18	32816279	32816949	+	671	8	12	56	9	58	76	68	20
Interval_1000	chr18	32836676	32838036	+	1361	83	78	118	102	163	158	160	258
Interval_1001	chr18	32938564	32939859	+	1296	9	11	89	17	121	167	146	27
Interval_1002	chr18	32945233	32945489	+	257	1	1	8	3	12	9	4	1
Interval_1003	chr18	33153049	33153329	+	281	3	3	5	3	1	13	6	2
Interval_1004	chr18	33172122	33172462	+	341	15	5	8	15	8	1	8	41
Interval_1005	chr18	33209552	33209872	+	321	0	6	4	14	23	14	25	14
Interval_1006	chr18	33211124	33212405	+	1282	23	26	19	50	39	48	46	81
Interval_1007	chr18	33236473	33236699	+	227	3	0	12	4	12	20	5	7
Interval_1008	chr18	33259475	33260688	+	1214	15	22	43	21	45	45	77	26
Interval_1009	chr18	33377512	33378890	+	1379	14	25	60	28	70	139	123	27
Interval_1010	chr18	33385527	33385800	+	274	1	3	10	2	8	9	13	3
Interval_1011	chr18	33433644	33434093	+	450	3	5	11	4	17	7	19	2
Interval_1012	chr18	33443254	33443484	+	231	6	4	11	5	8	15	22	8
Interval_1013	chr18	33453345	33453646	+	302	1	3	10	3	8	17	11	2
Interval_1014	chr18	33463234	33464564	+	1331	75	102	321	187	467	588	534	207
Interval_1015	chr18	33471074	33471653	+	580	3	2	26	6	42	45	40	2
Interval_1016	chr18	33482044	33482974	+	931	1	2	33	5	38	60	52	16
Interval_1017	chr18	33510346	33510755	+	410	1	2	11	8	19	29	23	11
Interval_1018	chr18	33527921	33529274	+	1354	22	23	36	32	52	80	48	45
Interval_1019	chr18	33552679	33553137	+	459	13	35	6	48	15	12	8	51
Interval_1020	chr18	33667204	33667437	+	234	8	1	5	3	4	13	10	8
Interval_1021	chr18	33741744	33742329	+	586	0	2	23	2	34	34	40	3
Interval_1022	chr18	33776990	33777768	+	779	0	11	70	2	69	73	64	8
Interval_1023	chr18	33783881	33784645	+	765	7	5	31	4	30	72	48	8
Interval_1024	chr18	33794272	33795540	+	1269	115	142	156	229	184	240	221	420
Interval_1025	chr18	33825263	33825736	+	474	4	4	11	4	11	20	13	11
Interval_1026	chr18	33833499	33833764	+	266	7	1	11	3	11	18	16	9
Interval_1027	chr18	33849332	33849596	+	265	2	5	8	3	23	15	26	1
Interval_1028	chr18	33855914	33856541	+	628	0	5	27	5	43	50	44	6
Interval_1029	chr18	33871527	33872148	+	622	4	2	28	3	45	42	54	3
Interval_1030	chr18	33873496	33873783	+	288	0	0	8	5	11	5	16	5
Interval_1031	chr18	33889089	33889731	+	643	2	4	28	2	45	33	47	7
Interval_1032	chr18	33923216	33923579	+	364	2	10	9	10	22	9	12	10
Interval_1033	chr18	33932434	33932806	+	373	2	2	5	4	14	15	13	1
Interval_1034	chr18	33950282	33950910	+	629	4	3	32	9	59	61	56	10
Interval_1035	chr18	33953050	33953895	+	846	1	4	37	8	89	74	91	4
Interval_1036	chr18	33977506	33978065	+	560	3	0	15	3	26	39	21	3
Interval_1037	chr18	33978507	33979063	+	557	3	1	19	3	29	24	38	5
Interval_1038	chr18	33987548	33988129	+	582	0	4	18	5	39	42	39	8
Interval_1039	chr18	33998270	33998546	+	277	5	0	15	4	24	25	21	2
Interval_1040	chr18	34005971	34007700	+	1730	19	20	223	25	272	363	312	44
Interval_1041	chr18	34052335	34053621	+	1287	8	3	111	10	121	183	152	3
Interval_1042	chr18	34062311	34062582	+	272	4	5	13	1	9	11	13	9
Interval_1043	chr18	34067848	34068069	+	222	1	1	19	4	19	24	26	2
Interval_1044	chr18	34069277	34069598	+	322	2	2	19	5	19	24	17	4
Interval_1045	chr18	34070170	34070599	+	430	2	1	13	2	17	30	30	3
Interval_1046	chr18	34079759	34080792	+	1034	11	12	31	17	37	63	36	31
Interval_1047	chr18	34094065	34094311	+	247	3	2	20	6	16	15	17	7
Interval_1048	chr18	34102837	34103527	+	691	7	9	38	9	26	54	49	16
Interval_1049	chr18	34117967	34118761	+	795	22	22	48	39	39	67	58	37
Interval_1050	chr18	34139169	34139417	+	249	1	5	8	4	7	14	6	8
Interval_1051	chr18	34152624	34153040	+	417	4	3	28	5	12	26	14	6
Interval_1052	chr18	34159747	34160269	+	523	2	1	24	7	52	61	50	5
Interval_1053	chr18	34162896	34163232	+	337	3	2	22	8	35	58	34	3
Interval_1054	chr18	34182397	34183906	+	1510	12	10	42	16	53	84	62	35
Interval_1055	chr18	34202255	34202524	+	270	5	6	5	11	2	0	5	25
Interval_1056	chr18	34220518	34221749	+	1232	200	267	186	375	233	308	270	678
Interval_1057	chr18	34227735	34228087	+	353	3	1	20	3	7	11	14	4
Interval_1058	chr18	34247029	34248051	+	1023	59	40	76	54	88	116	93	128
Interval_1059	chr18	34259279	34259533	+	255	7	4	15	5	11	13	21	20
Interval_1060	chr18	34330601	34331549	+	949	245	274	147	457	194	255	245	789
Interval_1061	chr18	34340787	34341045	+	259	5	3	9	5	5	18	10	21
Interval_1062	chr18	34348527	34349100	+	574	9	13	16	22	10	21	11	43
Interval_1063	chr18	34358402	34358800	+	399	13	11	12	20	12	12	16	11
Interval_1064	chr18	34372266	34373893	+	1628	218	333	192	503	227	291	279	1003
Interval_1065	chr18	34379812	34380918	+	1107	6	13	63	20	68	112	94	32
Interval_1066	chr18	34389922	34390278	+	357	1	2	8	4	22	16	5	8
Interval_1067	chr18	34410065	34411051	+	987	199	187	17	345	33	35	45	700
Interval_1068	chr18	34419957	34420852	+	896	6	7	45	13	64	73	56	11
Interval_1069	chr18	34430935	34431136	+	202	0	4	11	3	8	0	3	5
Interval_1070	chr18	34438541	34438854	+	314	6	3	13	8	5	14	9	22
Interval_1071	chr18	34446838	34447097	+	260	4	2	4	7	13	15	4	14
Interval_1072	chr18	34464951	34465821	+	871	44	50	9	79	9	9	9	146
Interval_1073	chr18	34505941	34507403	+	1463	258	382	210	624	250	289	282	972
Interval_1074	chr18	34513553	34513933	+	381	23	40	8	54	6	5	12	97
Interval_1075	chr18	34516225	34516511	+	287	97	100	4	206	10	4	13	394
Interval_1076	chr18	34519162	34520132	+	971	152	184	27	306	21	18	38	522
Interval_1077	chr18	34537993	34538826	+	834	21	17	35	26	34	42	43	61
Interval_1078	chr18	34546901	34547698	+	798	17	10	27	15	36	39	47	17
Interval_1079	chr18	34561101	34561604	+	504	3	3	18	8	19	28	20	8
Interval_1080	chr18	34562217	34562549	+	333	5	4	6	2	10	2	19	7
Interval_1081	chr18	34572610	34572905	+	296	4	9	8	9	2	12	9	9
Interval_1082	chr18	34578897	34579241	+	345	4	2	26	6	26	18	27	15
Interval_1083	chr18	34624021	34625539	+	1519	341	479	214	768	272	322	282	1428
Interval_1084	chr18	34634420	34634877	+	458	18	30	8	43	7	10	6	72
Interval_1085	chr18	34651103	34652168	+	1066	126	142	111	208	107	127	115	432
Interval_1086	chr18	34663081	34663714	+	634	12	12	27	14	34	35	24	32
Interval_1087	chr18	34679533	34680220	+	688	1	7	33	8	29	60	35	12
Interval_1088	chr18	34719987	34720495	+	509	4	5	37	4	29	35	28	11
Interval_1089	chr18	34721394	34721836	+	443	2	3	20	1	17	39	25	9
Interval_1090	chr18	34726794	34727059	+	266	7	5	17	8	10	31	15	11
Interval_1091	chr18	34751003	34752222	+	1220	296	356	147	614	163	211	254	1027
Interval_1092	chr18	34758716	34759992	+	1277	275	369	226	576	294	314	322	958
Interval_1093	chr18	34776637	34777906	+	1270	251	319	179	545	225	300	221	1045
Interval_1094	chr18	34779265	34779529	+	265	75	76	24	145	30	30	29	215
Interval_1095	chr18	34783312	34784068	+	757	147	211	22	337	19	31	30	481
Interval_1096	chr18	34788364	34788796	+	433	35	63	5	91	10	6	11	160
Interval_1097	chr18	34840182	34841632	+	1451	22	32	125	42	128	166	143	61
Interval_1098	chr18	34850021	34850383	+	363	16	11	29	17	37	36	34	46
Interval_1099	chr18	34854599	34855736	+	1138	69	87	34	135	45	47	47	314
Interval_1100	chr18	34859723	34861543	+	1821	493	618	555	1053	658	840	730	1689
Interval_1101	chr18	34880030	34880711	+	682	17	10	12	27	11	12	11	76
Interval_1102	chr18	34886853	34888378	+	1526	75	108	196	156	209	259	261	284
Interval_1103	chr18	34897480	34897716	+	237	5	4	5	12	10	6	12	5
Interval_1104	chr18	34900595	34900907	+	313	6	11	22	13	17	33	19	22
Interval_1105	chr18	34900993	34901435	+	443	6	8	16	10	10	10	27	25
Interval_1106	chr18	34915803	34916406	+	604	14	32	8	41	9	11	10	88
Interval_1107	chr18	34931432	34932591	+	1160	495	595	317	1191	444	614	511	1862
Interval_1108	chr18	34953968	34955237	+	1270	376	327	258	640	289	388	349	1184
Interval_1109	chr18	34988837	34989128	+	292	5	2	11	16	10	6	7	7
Interval_1110	chr18	34989247	34989499	+	253	4	8	11	11	5	9	14	7
Interval_1111	chr18	35021631	35022703	+	1073	19	20	75	47	73	81	92	52
Interval_1112	chr18	35027131	35027514	+	384	4	4	31	5	19	23	29	10
Interval_1113	chr18	35045311	35046276	+	966	7	6	55	18	79	83	104	19
Interval_1114	chr18	35056756	35057420	+	665	2	3	46	2	56	83	59	5
Interval_1115	chr18	35068739	35069648	+	910	6	6	56	11	75	110	84	5
Interval_1116	chr18	35079963	35080208	+	246	7	2	6	4	8	19	16	3
Interval_1117	chr18	35094117	35094434	+	318	10	8	14	14	12	7	11	25
Interval_1118	chr18	35118155	35119624	+	1470	157	242	181	338	244	264	270	523
Interval_1119	chr18	35134296	35135156	+	861	161	185	13	305	23	36	49	513
Interval_1120	chr18	35152235	35152714	+	480	15	21	3	34	8	3	7	61
Interval_1121	chr18	35154650	35155269	+	620	14	22	4	27	11	5	10	66
Interval_1122	chr18	35162062	35162363	+	302	4	2	15	5	15	7	19	4
Interval_1123	chr18	35212803	35213301	+	499	4	3	31	2	23	25	31	4
Interval_1124	chr18	35214759	35215158	+	400	3	2	14	4	18	15	27	6
Interval_1125	chr18	35285068	35285348	+	281	1	3	13	4	2	4	16	9
Interval_1126	chr18	35285599	35285832	+	234	5	3	3	4	6	6	13	4
Interval_1127	chr18	35285874	35286114	+	241	4	1	13	6	10	11	8	3
Interval_1128	chr18	35296227	35296843	+	617	7	17	16	20	34	29	32	22
Interval_1129	chr18	35341795	35342052	+	258	2	6	13	11	16	25	14	19
Interval_1130	chr18	35368873	35369241	+	369	1	1	13	2	14	27	24	4
Interval_1131	chr18	35402069	35402716	+	648	2	3	27	9	38	50	39	6
Interval_1132	chr18	35467013	35467353	+	341	4	15	0	12	10	7	11	11
Interval_1133	chr18	35488545	35489352	+	808	7	2	23	5	38	47	39	13
Interval_1134	chr18	35498222	35499254	+	1033	102	100	114	150	116	176	124	285
Interval_1135	chr18	35529656	35530629	+	974	8	12	47	16	54	57	40	14
Interval_1136	chr18	35532058	35532689	+	632	19	29	19	31	10	12	20	22
Interval_1137	chr18	35540154	35540413	+	260	4	6	25	6	13	17	22	12
Interval_1138	chr18	35552914	35554572	+	1659	108	141	115	185	107	153	138	350
Interval_1139	chr18	35561677	35563179	+	1503	422	497	287	891	329	423	354	1664
Interval_1140	chr18	35598147	35599550	+	1404	144	187	148	253	148	228	195	522
Interval_1141	chr18	35619093	35620181	+	1089	258	272	18	415	22	16	42	837
Interval_1142	chr18	35626372	35628013	+	1642	57	59	39	103	84	55	79	121
Interval_1143	chr18	35642299	35642768	+	470	4	5	7	8	33	16	34	10
Interval_1144	chr18	35653210	35653448	+	239	5	7	13	8	14	15	30	10
Interval_1145	chr18	35654309	35655484	+	1176	55	52	110	74	118	147	121	123
Interval_1146	chr18	35655907	35656351	+	445	7	10	31	19	39	30	52	28
Interval_1147	chr18	35661556	35662482	+	927	118	120	145	172	113	186	153	366
Interval_1148	chr18	35671304	35671698	+	395	3	5	14	3	15	17	23	19
Interval_1149	chr18	35671883	35672336	+	454	22	22	15	38	21	17	18	93
Interval_1150	chr18	35676171	35676654	+	484	9	17	18	36	25	17	23	36
Interval_1151	chr18	35702526	35703464	+	939	96	149	121	132	166	198	168	271
Interval_1152	chr18	35722253	35722755	+	503	3	15	28	19	27	32	47	20
Interval_1153	chr18	35729986	35730806	+	821	78	90	58	123	81	88	72	212
Interval_1154	chr18	35739606	35740898	+	1293	11	17	52	36	59	79	88	38
Interval_1155	chr18	35751585	35752638	+	1054	63	63	107	98	94	124	111	205
Interval_1156	chr18	35771025	35772405	+	1381	468	582	288	1018	328	430	349	1756
Interval_1157	chr18	35804274	35804523	+	250	3	4	4	4	6	18	10	11
Interval_1158	chr18	35814471	35816395	+	1925	111	183	195	297	228	284	256	319
Interval_1159	chr18	35822818	35824046	+	1229	79	105	144	224	167	186	205	226
Interval_1160	chr18	35829595	35830656	+	1062	48	48	190	119	185	252	209	137
Interval_1161	chr18	35831605	35832081	+	477	17	28	67	38	67	95	69	53
Interval_1162	chr18	35832529	35832883	+	355	18	32	49	35	57	69	64	65
Interval_1163	chr18	35837012	35837346	+	335	5	22	45	25	79	72	72	38
Interval_1164	chr18	35841421	35841890	+	470	12	7	50	15	71	81	106	45
Interval_1165	chr18	35848045	35848594	+	550	30	41	47	49	71	63	72	86
Interval_1166	chr18	35849189	35850171	+	983	97	82	93	159	115	119	101	410
Interval_1167	chr18	35855540	35855768	+	229	2	8	19	5	31	27	22	6
Interval_1168	chr18	35865571	35865800	+	230	2	8	17	10	22	14	18	13
Interval_1169	chr18	35866130	35866827	+	698	8	7	59	11	54	94	52	21
Interval_1170	chr18	35867496	35868350	+	855	28	37	59	44	48	63	62	104
Interval_1171	chr18	35872982	35875279	+	2298	50	62	346	98	437	552	495	156
Interval_1172	chr18	35878830	35879165	+	336	7	1	43	12	46	62	64	19
Interval_1173	chr18	35887374	35888584	+	1211	28	47	254	69	254	333	313	120
Interval_1174	chr18	35889013	35890106	+	1094	19	25	228	34	207	251	166	51
Interval_1175	chr18	35894840	35895094	+	255	4	11	21	4	33	48	33	11
Interval_1176	chr18	35918820	35921678	+	2859	35	51	440	75	418	625	429	87
Interval_1177	chr18	35926961	35927997	+	1037	9	6	112	13	133	183	146	23
Interval_1178	chr18	35930426	35930984	+	559	7	7	105	6	108	151	131	19
Interval_1179	chr18	35932967	35933738	+	772	4	14	115	12	144	148	133	24
Interval_1180	chr18	35939441	35940149	+	709	18	29	91	55	89	117	110	80
Interval_1181	chr18	35941831	35942732	+	902	28	50	51	69	91	80	100	93
Interval_1182	chr18	35959110	35959809	+	700	9	11	46	13	38	50	48	24
Interval_1183	chr18	35964539	35965637	+	1099	8	16	55	17	66	93	86	22
Interval_1184	chr18	36017902	36019039	+	1138	27	30	108	50	129	144	165	67
Interval_1185	chr18	36025671	36025992	+	322	8	2	12	9	18	23	18	10
Interval_1186	chr18	36068109	36069887	+	1779	13	10	142	17	136	219	152	31
Interval_1187	chr18	36077562	36078181	+	620	8	5	25	6	31	36	37	6
Interval_1188	chr18	36078246	36078601	+	356	9	5	11	12	10	9	9	28
Interval_1189	chr18	36121944	36122782	+	839	6	6	33	12	38	34	46	21
Interval_1190	chr18	36182997	36184034	+	1038	10	4	71	2	76	96	70	6
Interval_1191	chr18	36186463	36186743	+	281	3	2	10	1	16	19	23	2
Interval_1192	chr18	36195973	36197796	+	1824	20	19	124	38	154	205	152	25
Interval_1193	chr18	36274631	36275452	+	822	12	20	62	30	57	77	68	52
Interval_1194	chr18	36280385	36281690	+	1306	98	152	174	250	236	264	244	420
