PeakID (cmd=annotatePeaks.pl consensus_peaks.mLb.clN.bed mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1061	chr18	34340788	34341045	+	0	NA	Intergenic	Intergenic	9771	Srp19	Srp19	NM_025527			Srp19			NA
Interval_5657	chr19	47564306	47564527	+	0	NA	Intergenic	Intergenic	-15603	Slk	Slk	NM_001164639			Slk			NA
Interval_3095	chr18	80631379	80631826	+	0	NA	intron (Nfatc1, intron 9 of 9)	-intron (Nfatc1, intron 9 of 9)	81469	Nfatc1	Nfatc1	NM_198429			Nfatc1			NA
Interval_4017	chr19	10698425	10699037	+	0	NA	intron (Vps37c, intron 1 of 4)	-intron (Vps37c, intron 1 of 4)	9996	Vps37c	Vps37c	NM_001361962			Vps37c			NA
Interval_4439	chr19	23447321	23448443	+	0	NA	intron (Mamdc2, intron 1 of 13)	-intron (Mamdc2, intron 1 of 13)	440	Mamdc2	Mamdc2	NM_174857			Mamdc2			NA
Interval_4393	chr19	21919089	21919659	+	0	NA	Intergenic	Intergenic	141034	Cemip2	Cemip2	NM_031997			Cemip2			NA
Interval_4963	chr19	36110923	36111578	+	0	NA	TTS (Ankrd1)	-TTS (Ankrd1)	8594	Ankrd1	Ankrd1	NM_013468			Ankrd1			NA
Interval_5895	chr19	55098437	55099998	+	0	NA	intron (Gpam, intron 3 of 22)	-intron (Gpam, intron 3 of 22)	260	Gpam	Gpam	NM_001356285			Gpam			NA
Interval_700	chr18	22284758	22285220	+	0	NA	Intergenic	Intergenic	-60100	Asxl3	Asxl3	NM_001167777			Asxl3			NA
Interval_5544	chr19	46462630	46463002	+	0	NA	intron (Sufu, intron 8 of 11)	-intron (Sufu, intron 8 of 11)	-38832	Trim8	Trim8	NM_053100			Trim8			NA
Interval_138	chr18	5679708	5680734	+	0	NA	intron (Zeb1, intron 2 of 8)	-intron (Zeb1, intron 2 of 8)	-87784	Gm10125	Gm10125	NR_033552			Gm10125			NA
Interval_5531	chr19	46338000	46339246	+	0	NA	promoter-TSS (Cuedc2)	-promoter-TSS (Cuedc2)	37	Cuedc2	Cuedc2	NM_024192			Cuedc2			NA
Interval_487	chr18	14615698	14616385	+	0	NA	Intergenic	Intergenic	66873	Ss18	Ss18	NM_001161371			Ss18			NA
Interval_849	chr18	25548622	25548861	+	0	NA	intron (Celf4, intron 2 of 13)	-intron (Celf4, intron 2 of 12)	205416	Celf4	Celf4	NM_001362278			Celf4			NA
Interval_236	chr18	8585867	8586094	+	0	NA	Intergenic	Intergenic	-626876	Fzd8	Fzd8	NM_008058			Fzd8			NA
Interval_5612	chr19	47178214	47179700	+	0	NA	exon (Neurl1a, exon 1 of 6)	-exon (Neurl1a, exon 1 of 6)	137	Neurl1a	Neurl1a	NM_021360			Neurl1a			NA
Interval_3280	chr18	84092296	84092626	+	0	NA	intron (Zadh2, intron 1 of 1)	-intron (Zadh2, intron 1 of 1)	4303	Zadh2	Zadh2	NM_146090			Zadh2			NA
Interval_446	chr18	13328402	13328756	+	0	NA	Intergenic	Intergenic	321589	Hrh4	Hrh4	NM_153087			Hrh4			NA
Interval_719	chr18	22935854	22936666	+	0	NA	intron (Nol4, intron 2 of 9)	-intron (Nol4, intron 2 of 10)	105421	Nol4	Nol4	NM_001361223			Nol4			NA
Interval_741	chr18	23709875	23711265	+	0	NA	Intergenic	Intergenic	41735	Gm15972	Gm15972	NR_126066			Gm15972			NA
Interval_2740	chr18	74364758	74365036	+	0	NA	Intergenic	Intergenic	-77722	Myo5b	Myo5b	NM_201600			Myo5b			NA
Interval_3379	chr18	87017770	87018481	+	0	NA	Intergenic	Intergenic	306060	Cbln2	Cbln2	NM_001361142			Cbln2			NA
Interval_2865	chr18	75936679	75937250	+	0	NA	intron (Zbtb7c, intron 2 of 4)	-intron (Zbtb7c, intron 2 of 4)	116786	Zbtb7c	Zbtb7c	NM_001357506			Zbtb7c			NA
Interval_2297	chr18	64550236	64550670	+	0	NA	intron (Atp8b1, intron 19 of 27)	-intron (Atp8b1, intron 19 of 27)	-33896	Nars	Nars	NM_001142950			Nars			NA
Interval_2891	chr18	76171626	76172228	+	0	NA	Intergenic	Intergenic	1375	Mir6358	Mir6358	NR_105776			Mir6358			NA
Interval_5770	chr19	53093337	53093747	+	0	NA	Intergenic	Intergenic	17290	1700054A03Rik	1700054A03Rik	NR_045320			1700054A03Rik			NA
Interval_3407	chr18	88837977	88838297	+	0	NA	Intergenic	Intergenic	56070	Socs6	Socs6	NM_018821			Socs6			NA
Interval_541	chr18	15753272	15753984	+	0	NA	intron (Chst9, intron 1 of 4)	-intron (Chst9, intron 1 of 5)	6529	Chst9	Chst9	NM_199055			Chst9			NA
Interval_378	chr18	12120949	12122052	+	0	NA	promoter-TSS (Tmem241)	-promoter-TSS (Tmem241)	37	Tmem241	Tmem241	NM_178801			Tmem241			NA
Interval_1095	chr18	34783313	34784068	+	0	NA	intron (Kdm3b, intron 1 of 23)	-intron (Kdm3b, intron 1 of 23)	6682	Kdm3b	Kdm3b	NM_001081256			Kdm3b			NA
Interval_3138	chr18	81428309	81428510	+	0	NA	Intergenic	Intergenic	-441388	Sall3	Sall3	NM_001369133			Sall3			NA
Interval_4029	chr19	10856430	10856668	+	0	NA	intron (Slc15a3, intron 6 of 7)	-intron (Slc15a3, intron 6 of 7)	13230	Tmem132a	Tmem132a	NM_133804			Tmem132a			NA
Interval_6144	chr19	58440998	58441985	+	0	NA	intron (Gfra1, intron 4 of 11)	-intron (Gfra1, intron 4 of 9)	13907	Gfra1	Gfra1	NM_001285457			Gfra1			NA
Interval_5737	chr19	51237459	51238388	+	0	NA	Intergenic	Intergenic	-559277	Sorcs1	Sorcs1	NM_001360457			Sorcs1			NA
Interval_931	chr18	30948863	30949369	+	0	NA	Intergenic	Intergenic	368012	Rit2	Rit2	NM_009065			Rit2			NA
Interval_4103	chr19	12719064	12719519	+	0	NA	exon (Keg1, exon 6 of 6)	-exon (Keg1, exon 6 of 6)	23501	Keg1	Keg1	NM_029550			Keg1			NA
Interval_1202	chr18	36391438	36392229	+	0	NA	intron (Cystm1, intron 2 of 2)	-intron (Cystm1, intron 2 of 2)	43060	Cystm1	Cystm1	NM_001081365			Cystm1			NA
Interval_3597	chr19	5001667	5002485	+	0	NA	Intergenic	Intergenic	-12105	Npas4	Npas4	NM_153553			Npas4			NA
Interval_3482	chr19	3815678	3816185	+	0	NA	exon (Kmt5b, exon 13 of 13)	-exon (Kmt5b, exon 13 of 13)	34885	Gm51271	Gm51271	NR_162795			Gm51271			NA
Interval_2344	chr18	65251556	65251827	+	0	NA	intron (Mir466p, intron 4 of 6)	-intron (Mir466p, intron 4 of 6)	-2770	Mir122b	Mir122b	NR_162794			Mir122b			NA
Interval_1409	chr18	40048477	40048905	+	0	NA	Intergenic	Intergenic	170708	Yipf5	Yipf5	NM_023311			Yipf5			NA
Interval_1181	chr18	35941832	35942732	+	0	NA	Intergenic	Intergenic	-22548	Psd2	Psd2	NR_110349			Psd2			NA
Interval_4035	chr19	10909213	10909775	+	0	NA	TTS (Prpf19)	-TTS (Prpf19)	11107	Zp1	Zp1	NM_009580			Zp1			NA
Interval_1460	chr18	42978376	42979388	+	0	NA	intron (Ppp2r2b, intron 1 of 8)	-intron (Ppp2r2b, intron 1 of 8)	-79376	Ppp2r2b	Ppp2r2b	NR_073583			Ppp2r2b			NA
Interval_5782	chr19	53193978	53194706	+	0	NA	intron (Add3, intron 1 of 15)	-intron (Add3, intron 1 of 14)	50345	Add3	Add3	NM_001164100			Add3			NA
Interval_5574	chr19	46662273	46662578	+	0	NA	Intergenic	Intergenic	10575	Cyp17a1	Cyp17a1	NM_007809			Cyp17a1			NA
Interval_639	chr18	21151909	21152897	+	0	NA	intron (Garem1, intron 3 of 5)	-intron (Garem1, intron 3 of 5)	80059	Mep1b	Mep1b	NM_008586			Mep1b			NA
Interval_3704	chr19	6046015	6047668	+	0	NA	promoter-TSS (Syvn1)	-promoter-TSS (Syvn1)	265	Syvn1	Syvn1	NM_001164709			Syvn1			NA
Interval_6013	chr19	56438747	56439651	+	0	NA	intron (Casp7, intron 6 of 6)	-intron (Casp7, intron 6 of 6)	-22438	Plekhs1	Plekhs1	NM_001164263			Plekhs1			NA
Interval_4092	chr19	12500906	12502291	+	0	NA	exon (Dtx4, exon 1 of 9)	-exon (Dtx4, exon 1 of 9)	398	Dtx4	Dtx4	NM_172442			Dtx4			NA
Interval_3768	chr19	6848008	6848417	+	0	NA	exon (Ccdc88b, exon 21 of 27)	-exon (Ccdc88b, exon 21 of 27)	-7585	Rps6ka4	Rps6ka4	NM_019924			Rps6ka4			NA
Interval_3763	chr19	6819021	6819380	+	0	NA	Intergenic	Intergenic	10744	Mir5046	Mir5046	NR_039555			Mir5046			NA
Interval_1882	chr18	55500355	55500716	+	0	NA	Intergenic	Intergenic	-510355	Zfp608	Zfp608	NM_001360787			Zfp608			NA
Interval_816	chr18	24781011	24781345	+	0	NA	intron (Fhod3, intron 3 of 26)	-intron (Fhod3, intron 3 of 24)	72555	Fhod3	Fhod3	NM_175276			Fhod3			NA
Interval_4372	chr19	21563948	21564546	+	0	NA	Intergenic	Intergenic	88544	1110059E24Rik	1110059E24Rik	NM_025423			1110059E24Rik			NA
Interval_139	chr18	5759080	5759563	+	0	NA	intron (Zeb1, intron 4 of 7)	-intron (Zeb1, intron 5 of 8)	-166884	Gm10125	Gm10125	NR_033552			Gm10125			NA
Interval_73	chr18	4796310	4796802	+	0	NA	Intergenic	Intergenic	-15930	Gm10556	Gm10556	NR_045881			Gm10556			NA
Interval_2824	chr18	75423420	75423726	+	0	NA	Intergenic	Intergenic	56208	Smad7	Smad7	NM_001042660			Smad7			NA
Interval_1810	chr18	54174905	54175827	+	0	NA	Intergenic	Intergenic	-246929	Redrum	Redrum	NR_040338			Redrum			NA
Interval_4962	chr19	36090864	36091142	+	0	NA	intron (Rpp30, intron 5 of 10)	-intron (Rpp30, intron 5 of 10)	7287	Rpp30	Rpp30	NM_019428			Rpp30			NA
Interval_402	chr18	12635452	12635756	+	0	NA	Intergenic	Intergenic	-7929	Ttc39c	Ttc39c	NM_028341			Ttc39c			NA
Interval_3679	chr19	5847630	5848643	+	0	NA	Intergenic	Intergenic	-2658	Neat1	Neat1	NR_003513			Neat1			NA
Interval_3174	chr18	82532084	82532433	+	0	NA	intron (Mbp, intron 3 of 6)	-intron (Mbp, intron 3 of 3)	57135	Mbp	Mbp	NM_001025245			Mbp			NA
Interval_2107	chr18	61058445	61058903	+	0	NA	intron (Pdgfrb, intron 1 of 22)	-intron (Pdgfrb, intron 1 of 22)	13524	Pdgfrb	Pdgfrb	NM_008809			Pdgfrb			NA
Interval_5575	chr19	46667996	46668809	+	0	NA	intron (Cyp17a1, intron 6 of 7)	-intron (Cyp17a1, intron 6 of 7)	4598	Cyp17a1	Cyp17a1	NM_007809			Cyp17a1			NA
Interval_2298	chr18	64599661	64600418	+	0	NA	intron (Atp8b1, intron 2 of 27)	-intron (Atp8b1, intron 2 of 27)	60961	Atp8b1	Atp8b1	NM_001001488			Atp8b1			NA
Interval_220	chr18	7881688	7882292	+	0	NA	intron (Wac, intron 3 of 13)	-intron (Wac, intron 3 of 12)	12793	Wac	Wac	NM_001360956			Wac			NA
Interval_4948	chr19	34993129	34993377	+	0	NA	Intergenic	Intergenic	27857	Mir1950	Mir1950	NR_035473			Mir1950			NA
Interval_2365	chr18	65632141	65632535	+	0	NA	intron (Zfp532, intron 3 of 5)	-intron (Zfp532, intron 2 of 8)	-12723	Mir466p	Mir466p	NR_105742			Mir466p			NA
Interval_5004	chr19	36896901	36897310	+	0	NA	Intergenic	Intergenic	22494	Fgfbp3	Fgfbp3	NM_028263			Fgfbp3			NA
Interval_3075	chr18	80313037	80313601	+	0	NA	intron (Kcng2, intron 3 of 3)	-intron (Kcng2, intron 3 of 3)	50935	Kcng2	Kcng2	NM_001190373			Kcng2			NA
Interval_1956	chr18	57465271	57465792	+	0	NA	Intergenic	Intergenic	-2955	Ctxn3	Ctxn3	NM_001134697			Ctxn3			NA
Interval_4609	chr19	27066863	27067139	+	0	NA	Intergenic	Intergenic	-150019	Vldlr	Vldlr	NM_013703			Vldlr			NA
Interval_4087	chr19	12463878	12464310	+	0	NA	exon (Mpeg1, exon 2 of 2)	-exon (Mpeg1, exon 2 of 2)	3324	Mpeg1	Mpeg1	NM_001374668			Mpeg1			NA
Interval_5942	chr19	55566039	55566303	+	0	NA	intron (Vti1a, intron 8 of 8)	-intron (Vti1a, intron 8 of 8)	136033	4930552P12Rik	4930552P12Rik	NR_045318			4930552P12Rik			NA
Interval_4901	chr19	34210213	34210465	+	0	NA	intron (Stambpl1, intron 1 of 10)	-intron (Stambpl1, intron 1 of 10)	18110	Stambpl1	Stambpl1	NM_001360720			Stambpl1			NA
Interval_4305	chr19	18695261	18695911	+	0	NA	intron (Carnmt1, intron 6 of 7)	-intron (Carnmt1, intron 6 of 7)	-17650	D030056L22Rik	D030056L22Rik	NM_001374130			D030056L22Rik			NA
Interval_740	chr18	23695958	23696218	+	0	NA	Intergenic	Intergenic	56217	Gm15972	Gm15972	NR_126066			Gm15972			NA
Interval_792	chr18	24309448	24309837	+	0	NA	Intergenic	Intergenic	-29724	Gm38410	Gm38410	NR_152129			Gm38410			NA
Interval_1589	chr18	46668757	46669797	+	0	NA	Intergenic	Intergenic	59225	Cdo1	Cdo1	NM_033037			Cdo1			NA
Interval_170	chr18	6476103	6476511	+	0	NA	intron (Epc1, intron 1 of 13)	-intron (Epc1, intron 1 of 13)	14339	Mir1893	Mir1893	NR_035446			Mir1893			NA
Interval_3913	chr19	9026727	9027059	+	0	NA	intron (Ahnak, intron 4 of 6)	-intron (Ahnak, intron 4 of 5)	37609	Ahnak	Ahnak	NM_001039959			Ahnak			NA
Interval_3373	chr18	86557887	86558345	+	0	NA	Intergenic	Intergenic	-153949	Cbln2	Cbln2	NM_001361142			Cbln2			NA
Interval_5619	chr19	47264522	47264860	+	0	NA	exon (Sh3pxd2a, exon 14 of 14)	-exon (Sh3pxd2a, exon 14 of 14)	8898	Mir6995	Mir6995	NR_105961			Mir6995			NA
Interval_562	chr18	16739330	16739827	+	0	NA	intron (Cdh2, intron 2 of 15)	-intron (Cdh2, intron 2 of 15)	69668	Cdh2	Cdh2	NM_007664			Cdh2			NA
Interval_6255	chr19	61140211	61141283	+	0	NA	promoter-TSS (Zfp950)	-promoter-TSS (Zfp950)	93	Zfp950	Zfp950	NM_001001737			Zfp950			NA
Interval_4123	chr19	14333190	14333933	+	0	NA	Intergenic	Intergenic	102389	Gm8630	Gm8630	NR_152176			Gm8630			NA
Interval_1550	chr18	46211900	46212790	+	0	NA	exon (Trim36, exon 1 of 10)	-exon (Trim36, exon 1 of 10)	262	Trim36	Trim36	NM_178872			Trim36			NA
Interval_3102	chr18	80714488	80715600	+	0	NA	Intergenic	Intergenic	-1973	Nfatc1	Nfatc1	NM_198429			Nfatc1			NA
Interval_1851	chr18	54953858	54954415	+	0	NA	intron (Zfp608, intron 2 of 9)	-intron (Zfp608, intron 2 of 8)	36044	Zfp608	Zfp608	NM_001360787			Zfp608			NA
Interval_2235	chr18	62940699	62941299	+	0	NA	intron (Apcdd1, intron 3 of 4)	-intron (Apcdd1, intron 3 of 4)	18672	Apcdd1	Apcdd1	NM_133237			Apcdd1			NA
Interval_1294	chr18	38216806	38217210	+	0	NA	Intergenic	Intergenic	-7246	Pcdh1	Pcdh1	NM_029357			Pcdh1			NA
Interval_5223	chr19	41774115	41774428	+	0	NA	intron (Arhgap19, intron 9 of 11)	-intron (Arhgap19, intron 9 of 10)	27310	Gm19424	Gm19424	NR_040320			Gm19424			NA
Interval_5922	chr19	55273095	55273731	+	0	NA	intron (Acsl5, intron 3 of 21)	-intron (Acsl5, intron 3 of 21)	20044	Acsl5	Acsl5	NM_027976			Acsl5			NA
Interval_3158	chr18	82405598	82406666	+	0	NA	exon (Galr1, exon 1 of 3)	-exon (Galr1, exon 1 of 3)	645	Galr1	Galr1	NM_008082			Galr1			NA
Interval_1707	chr18	50112330	50113190	+	0	NA	Intergenic	Intergenic	-15441	Hsd17b4	Hsd17b4	NM_008292			Hsd17b4			NA
Interval_5227	chr19	41810283	41810592	+	0	NA	Intergenic	Intergenic	-8353	Arhgap19	Arhgap19	NM_027667			Arhgap19			NA
Interval_5681	chr19	48049548	48050116	+	0	NA	Intergenic	Intergenic	112120	Cfap58	Cfap58	NM_001163267			Cfap58			NA
Interval_2999	chr18	78313022	78313391	+	0	NA	intron (Slc14a2, intron 3 of 21)	-intron (Slc14a2, intron 3 of 11)	-189780	Slc14a1	Slc14a1	NM_001171011			Slc14a1			NA
Interval_1292	chr18	38207814	38208509	+	0	NA	intron (Pcdh1, intron 1 of 2)	-intron (Pcdh1, intron 1 of 2)	1601	Pcdh1	Pcdh1	NM_029357			Pcdh1			NA
Interval_525	chr18	15281311	15282213	+	0	NA	Intergenic	Intergenic	121996	Aqp4	Aqp4	NM_001308645			Aqp4			NA
Interval_1475	chr18	43360034	43360542	+	0	NA	intron (Dpysl3, intron 3 of 13)	-intron (Dpysl3, intron 3 of 13)	33089	Dpysl3	Dpysl3	NM_009468			Dpysl3			NA
Interval_264	chr18	9439666	9440205	+	0	NA	intron (Ccny, intron 1 of 9)	-intron (Ccny, intron 1 of 9)	10219	Ccny	Ccny	NM_026484			Ccny			NA
Interval_4071	chr19	11911697	11913161	+	0	NA	promoter-TSS (Patl1)	-promoter-TSS (Patl1)	30	Patl1	Patl1	NM_172635			Patl1			NA
Interval_19	chr18	3839468	3840285	+	0	NA	Intergenic	Intergenic	-325956	Lyzl1	Lyzl1	NM_026092			Lyzl1			NA
Interval_3363	chr18	85956342	85956680	+	0	NA	Intergenic	Intergenic	-438441	Neto1	Neto1	NM_144946			Neto1			NA
Interval_2842	chr18	75563098	75563630	+	0	NA	intron (Ctif, intron 7 of 11)	-intron (Ctif, intron 7 of 11)	48719	Gm10532	Gm10532	NR_045879			Gm10532			NA
Interval_2202	chr18	62073878	62074235	+	0	NA	Intergenic	Intergenic	105925	Adrb2	Adrb2	NM_007420			Adrb2			NA
Interval_3976	chr19	10296424	10297383	+	0	NA	intron (Dagla, intron 1 of 19)	-intron (Dagla, intron 1 of 19)	7974	Dagla	Dagla	NM_198114			Dagla			NA
Interval_3503	chr19	4012361	4013334	+	0	NA	promoter-TSS (Ndufv1)	-promoter-TSS (Ndufv1)	-92	Ndufv1	Ndufv1	NM_133666			Ndufv1			NA
Interval_4075	chr19	11973544	11974113	+	0	NA	exon (Osbp, exon 3 of 14)	-exon (Osbp, exon 3 of 14)	7984	Osbp	Osbp	NM_001033174			Osbp			NA
Interval_2643	chr18	70672988	70673602	+	0	NA	Intergenic	Intergenic	105003	Mbd2	Mbd2	NM_001311071			Mbd2			NA
Interval_1309	chr18	38367062	38367685	+	0	NA	Intergenic	Intergenic	-28380	Gnpda1	Gnpda1	NM_011937			Gnpda1			NA
Interval_2915	chr18	76929383	76930449	+	0	NA	promoter-TSS (Ier3ip1)	-promoter-TSS (Ier3ip1)	-111	Ier3ip1	Ier3ip1	NM_025409			Ier3ip1			NA
Interval_1404	chr18	39815368	39815682	+	0	NA	Intergenic	Intergenic	42028	Pabpc2	Pabpc2	NM_011033			Pabpc2			NA
Interval_2199	chr18	62046818	62047333	+	0	NA	Intergenic	Intergenic	94000	Sh3tc2	Sh3tc2	NM_172628			Sh3tc2			NA
Interval_445	chr18	13305423	13305796	+	0	NA	Intergenic	Intergenic	298619	Hrh4	Hrh4	NM_153087			Hrh4			NA
Interval_5492	chr19	45734660	45735587	+	0	NA	Intergenic	Intergenic	-4565	4933429K18Rik	4933429K18Rik	NR_045307			4933429K18Rik			NA
Interval_2715	chr18	73935048	73935708	+	0	NA	intron (Mapk4, intron 3 of 5)	-intron (Mapk4, intron 2 of 4)	75993	Mro	Mro	NM_001305882			Mro			NA
Interval_5644	chr19	47451665	47452197	+	0	NA	intron (Sh3pxd2a, intron 1 of 14)	-intron (Sh3pxd2a, intron 1 of 13)	12480	Sh3pxd2a	Sh3pxd2a	NM_001164717			Sh3pxd2a			NA
Interval_4206	chr19	16529174	16529534	+	0	NA	intron (Gna14, intron 1 of 6)	-intron (Gna14, intron 1 of 6)	93687	Gna14	Gna14	NM_008137			Gna14			NA
Interval_1456	chr18	42876952	42877920	+	0	NA	intron (Ppp2r2b, intron 1 of 8)	-intron (Ppp2r2b, intron 1 of 8)	22070	Ppp2r2b	Ppp2r2b	NR_073583			Ppp2r2b			NA
Interval_3872	chr19	8695316	8696159	+	0	NA	Intergenic	Intergenic	18160	Slc3a2	Slc3a2	NM_008577			Slc3a2			NA
Interval_5164	chr19	40769206	40769987	+	0	NA	Intergenic	Intergenic	-61683	Ccnj	Ccnj	NM_172839			Ccnj			NA
Interval_3449	chr19	3344818	3345783	+	0	NA	intron (Cpt1a, intron 1 of 18)	-intron (Cpt1a, intron 1 of 18)	21999	Cpt1a	Cpt1a	NM_013495			Cpt1a			NA
Interval_4804	chr19	32127142	32127902	+	0	NA	intron (Sgms1, intron 8 of 9)	-intron (Sgms1, intron 8 of 9)	-24382	Asah2	Asah2	NM_018830			Asah2			NA
Interval_4582	chr19	26521431	26521785	+	0	NA	Intergenic	Intergenic	-226795	Smarca2	Smarca2	NM_011416			Smarca2			NA
Interval_4648	chr19	28636173	28636484	+	0	NA	intron (Glis3, intron 2 of 10)	-intron (Glis3, intron 2 of 9)	-41896	D930032P07Rik	D930032P07Rik	NR_045330			D930032P07Rik			NA
Interval_3673	chr19	5815945	5816297	+	0	NA	Intergenic	Intergenic	-13449	Malat1	Malat1	NR_002847			Malat1			NA
Interval_2017	chr18	58741932	58742659	+	0	NA	Intergenic	Intergenic	82813	Isoc1	Isoc1	NM_025478			Isoc1			NA
Interval_3724	chr19	6276089	6277441	+	0	NA	promoter-TSS (Ehd1)	-promoter-TSS (Ehd1)	-131	Ehd1	Ehd1	NM_010119			Ehd1			NA
Interval_1189	chr18	36121945	36122782	+	0	NA	intron (Nrg2, intron 1 of 9)	-intron (Nrg2, intron 1 of 9)	16160	4930471G03Rik	4930471G03Rik	NR_015571			4930471G03Rik			NA
Interval_4175	chr19	16084173	16084484	+	0	NA	Intergenic	Intergenic	-48356	Gnaq	Gnaq	NM_008139			Gnaq			NA
Interval_5028	chr19	37265502	37266374	+	0	NA	Intergenic	Intergenic	-1843	4931408D14Rik	4931408D14Rik	NR_040299			4931408D14Rik			NA
Interval_5121	chr19	40257282	40257654	+	0	NA	intron (Pdlim1, intron 1 of 6)	-intron (Pdlim1, intron 1 of 6)	14148	Pdlim1	Pdlim1	NM_016861			Pdlim1			NA
Interval_1023	chr18	33783882	33784645	+	0	NA	Intergenic	Intergenic	-10629	Epb41l4aos	Epb41l4aos	NR_038151			Epb41l4aos			NA
Interval_5755	chr19	53002029	53002791	+	0	NA	intron (Xpnpep1, intron 14 of 20)	-intron (Xpnpep1, intron 13 of 19)	8346	Mir6407	Mir6407	NR_105834			Mir6407			NA
Interval_1418	chr18	40669764	40670007	+	0	NA	Intergenic	Intergenic	412886	Kctd16	Kctd16	NM_001371041			Kctd16			NA
Interval_645	chr18	21197682	21198089	+	0	NA	intron (Garem1, intron 2 of 5)	-intron (Garem1, intron 2 of 5)	102254	Garem1	Garem1	NM_001033445			Garem1			NA
Interval_5475	chr19	45575372	45575824	+	0	NA	intron (Dpcd, intron 4 of 5)	-intron (Dpcd, intron 4 of 5)	15013	Dpcd	Dpcd	NM_172639			Dpcd			NA
Interval_3189	chr18	82633735	82634845	+	0	NA	intron (Zfp236, intron 13 of 29)	-intron (Zfp236, intron 14 of 30)	58625	Zfp236	Zfp236	NM_177832			Zfp236			NA
Interval_3519	chr19	4148155	4149099	+	0	NA	promoter-TSS (Coro1b)	-promoter-TSS (Coro1b)	-27	Coro1b	Coro1b	NM_011778			Coro1b			NA
Interval_4423	chr19	23134659	23136443	+	0	NA	Intergenic	Intergenic	-5675	Klf9	Klf9	NM_010638			Klf9			NA
Interval_1687	chr18	49968514	49969108	+	0	NA	Intergenic	Intergenic	-84471	Tnfaip8	Tnfaip8	NM_001360935			Tnfaip8			NA
Interval_4354	chr19	21159335	21160353	+	0	NA	Intergenic	Intergenic	55134	4930554I06Rik	4930554I06Rik	NR_126458			4930554I06Rik			NA
Interval_4603	chr19	26920043	26920328	+	0	NA	Intergenic	Intergenic	34260	Gm815	Gm815	NM_001033407			Gm815			NA
Interval_3476	chr19	3707758	3708784	+	0	NA	promoter-TSS (1810055G02Rik)	-promoter-TSS (1810055G02Rik)	-22	1810055G02Rik	1810055G02Rik	NM_001358256			1810055G02Rik			NA
Interval_4922	chr19	34562376	34562889	+	0	NA	intron (Ifit2, intron 1 of 2)	-intron (Ifit2, intron 1 of 2)	11938	Ifit2	Ifit2	NM_001355262			Ifit2			NA
Interval_1282	chr18	38098143	38098594	+	0	NA	Intergenic	Intergenic	-100794	Arap3	Arap3	NM_139206			Arap3			NA
Interval_2701	chr18	73754021	73754828	+	0	NA	promoter-TSS (Elac1)	-promoter-TSS (Elac1)	55	Elac1	Elac1	NM_053255			Elac1			NA
Interval_1441	chr18	42469550	42470498	+	0	NA	Intergenic	Intergenic	-41463	Tcerg1	Tcerg1	NM_001039474			Tcerg1			NA
Interval_3491	chr19	3906264	3907786	+	0	NA	promoter-TSS (Tcirg1)	-promoter-TSS (Tcirg1)	-1795	Tcirg1	Tcirg1	NM_001136091			Tcirg1			NA
Interval_1798	chr18	53692274	53692655	+	0	NA	intron (Cep120, intron 19 of 20)	-intron (Cep120, intron 19 of 20)	44313	Gm19466	Gm19466	NR_040349			Gm19466			NA
Interval_1732	chr18	51707806	51708346	+	0	NA	Intergenic	Intergenic	415470	Mir28a	Mir28a	NR_029788			Mir28a			NA
Interval_4302	chr19	18682105	18682728	+	0	NA	intron (Carnmt1, intron 3 of 7)	-intron (Carnmt1, intron 3 of 7)	11636	Carnmt1	Carnmt1	NM_026120			Carnmt1			NA
Interval_243	chr18	8871405	8871768	+	0	NA	Intergenic	Intergenic	-341270	Fzd8	Fzd8	NM_008058			Fzd8			NA
Interval_1243	chr18	37661935	37662222	+	0	NA	exon (Pcdhga1, exon 1 of 4)	-exon (Pcdhga1, exon 1 of 4)	303	Pcdhga1	Pcdhga1	NM_033584			Pcdhga1			NA
Interval_3899	chr19	8928145	8928553	+	0	NA	intron (Rom1, intron 1 of 2)	-intron (Rom1, intron 1 of 2)	1007	Rom1	Rom1	NM_009073			Rom1			NA
Interval_4168	chr19	15973284	15973825	+	0	NA	intron (Cep78, intron 8 of 14)	-intron (Cep78, intron 8 of 14)	11435	Cep78	Cep78	NM_198019			Cep78			NA
Interval_3253	chr18	83430596	83430784	+	0	NA	Intergenic	Intergenic	-104806	4921531P14Rik	4921531P14Rik	NR_045361			4921531P14Rik			NA
Interval_1988	chr18	58160751	58161327	+	0	NA	intron (Fbn2, intron 5 of 64)	-intron (Fbn2, intron 5 of 64)	48887	Fbn2	Fbn2	NM_010181			Fbn2			NA
Interval_2019	chr18	58835866	58838038	+	0	NA	intron (Adamts19, intron 1 of 22)	-intron (Adamts19, intron 1 of 22)	589	Adamts19	Adamts19	NM_175506			Adamts19			NA
Interval_2662	chr18	71595329	71595644	+	0	NA	intron (Dcc, intron 7 of 28)	-intron (Dcc, intron 7 of 28)	755583	Dcc	Dcc	NM_007831			Dcc			NA
